Year,Month,Site,PercentOccurrence,DeviceType,Period
2014,Nov,A2M,14,Archival,1
2014,Nov,A7M,18,Archival,1
2014,Nov,T2M,11,Archival,1
2014,Dec,A2M,48,Archival,1
2014,Dec,A7M,55,Archival,1
2014,Dec,T2M,29,Archival,1
2015,Jan,A2M,32,Archival,1
2015,Jan,A7M,61,Archival,1
2015,Jan,T2M,58,Archival,1
2015,Feb,A2M,36,Archival,1
2015,Feb,A7M,46,Archival,1
2015,Feb,T2M,39,Archival,1
2015,Mar,A2M,32,Archival,1
2015,Mar,A7M,32,Archival,1
2015,Mar,T2M,39,Archival,1
2015,Apr,A2M,0,Archival,1
2015,Apr,A7M,3,Archival,1
2015,Apr,T2M,10,Archival,1
2015,May,A2M,0,Archival,1
2015,May,A7M,3,Archival,1
2015,May,T2M,3,Archival,1
2015,Jun,A2M,7,Archival,1
2015,Jun,A7M,7,Archival,1
2015,Jun,T2M,7,Archival,1
2015,Jul,A2M,3,Archival,1
2015,Jul,A7M,3,Archival,1
2015,Jul,T2M,3,Archival,1
2015,Aug,A2M,0,Archival,1
2015,Aug,A7M,0,Archival,1
2015,Aug,T2M,3,Archival,1
2015,Sep,A2M,0,Archival,1
2015,Sep,A7M,0,Archival,1
2015,Sep,T2M,0,Archival,1
2015,Oct,A2M,3,Archival,1
2015,Oct,A7M,0,Archival,1
2015,Oct,T2M,0,Archival,1
2015,Nov,A2M,20,Archival,1
2015,Nov,A7M,20,Archival,1
2015,Nov,T2M,7,Archival,1
2015,Dec,A2M,48,Archival,1
2015,Dec,A7M,29,Archival,1
2015,Dec,T2M,23,Archival,1
2016,Jan,A2M,52,Archival,1
2016,Jan,A7M,55,Archival,1
2016,Jan,T2M,52,Archival,1
2016,Feb,A2M,61,Archival,1
2016,Feb,A7M,64,Archival,1
2016,Feb,T2M,50,Archival,1
2016,Mar,A2M,65,Archival,1
2016,Mar,A7M,77,Archival,1
2016,Mar,T2M,77,Archival,1
2016,Apr,A2M,3,Archival,1
2016,Apr,A7M,3,Archival,1
2016,Apr,T2M,10,Archival,1
2016,May,A2M,0,Archival,1
2016,May,A7M,0,Archival,1
2016,May,T2M,0,Archival,1
2016,Jun,A2M,0,Archival,1
2016,Jun,A7M,0,Archival,1
2016,Jun,T2M,0,Archival,1
2016,Jul,A2M,0,Archival,1
2016,Jul,A7M,0,Archival,1
2016,Jul,T2M,0,Archival,1
2016,Aug,A2M,0,Archival,1
2016,Aug,A7M,0,Archival,1
2016,Aug,T2M,0,Archival,1
2016,Sep,A2M,0,Archival,1
2016,Sep,A7M,0,Archival,1
2016,Sep,T2M,3,Archival,1
2016,Oct,A2M,0,Archival,1
2016,Oct,A7M,3,Archival,1
2016,Oct,T2M,3,Archival,1
2016,Nov,A2M,10,Archival,1
2016,Nov,A7M,10,Archival,1
2016,Nov,T2M,3,Archival,1
2016,Dec,A2M,32,Archival,1
2016,Dec,A7M,29,Archival,1
2016,Dec,T2M,0,Archival,1
2017,Jan,A2M,39,Archival,1
2017,Jan,A7M,42,Archival,1
2017,Jan,T2M,42,Archival,1
2017,Feb,A2M,0,Archival,1
2017,Feb,A7M,0,Archival,1
2017,Feb,T2M,4,Archival,1
2017,Mar,A2M,13,Archival,1
2017,Mar,A7M,19,Archival,1
2017,Mar,T2M,16,Archival,1
2017,Apr,A2M,0,Archival,1
2017,Apr,A7M,3,Archival,1
2017,Apr,T2M,0,Archival,1
2017,May,A2M,0,Archival,1
2017,May,A7M,0,Archival,1
2017,May,T2M,0,Archival,1
2017,Jun,A2M,3,Archival,1
2017,Jun,A7M,9,Archival,1
2017,Jun,T2M,6,Archival,1
2017,Jul,A2M,0,Archival,1
2017,Jul,A7M,0,Archival,1
2017,Jul,T2M,0,Archival,1
2017,Aug,A2M,0,Archival,1
2017,Aug,A7M,0,Archival,1
2017,Aug,T2M,0,Archival,1
2017,Sep,A2M,0,Archival,1
2017,Sep,A7M,0,Archival,1
2017,Sep,T2M,0,Archival,1
2017,Oct,A2M,0,Archival,1
2017,Oct,A7M,0,Archival,1
2017,Oct,T2M,0,Archival,1
2017,Nov,A2M,0,Archival,1
2017,Nov,A7M,4,Archival,1
2017,Nov,T2M,0,Archival,1
2021,May,RTWB,0,RealTime,1
2021,Jun,RTWB,3,RealTime,2
2021,Jul,RTWB,0,RealTime,2
2021,Oct,RTWB,0,RealTime,2
2021,Nov,RTWB,3,RealTime,2
2021,Dec,RTWB,42,RealTime,2
2022,Jan,RTWB,33,RealTime,2
2022,Feb,RTWB,11,RealTime,2
2022,Mar,RTWB,17,RealTime,2
2022,Apr,RTWB,0,RealTime,2
2022,May,RTWB,0,RealTime,2
2022,Jun,RTWB,0,RealTime,2
2022,Jul,RTWB,0,RealTime,2
2022,Aug,RTWB,6,RealTime,2
2022,Sep,RTWB,0,RealTime,2
2022,Oct,RTWB,0,RealTime,2
2022,Nov,RTWB,7,RealTime,2
2022,Dec,RTWB,26,RealTime,2
2023,Jan,RTWB,48,RealTime,2
2023,Feb,RTWB,68,RealTime,2
2023,Mar,RTWB,39,RealTime,2
2023,Apr,A2M,0,Archival,2
2023,Apr,A7M,0,Archival,2
2023,Apr,RTWB,3,RealTime,2
2023,Apr,T2M,0,Archival,2
2023,May,A2M,0,Archival,2
2023,May,A7M,0,Archival,2
2023,May,RTWB,0,RealTime,2
2023,May,T2M,0,Archival,2
2023,Jun,A2M,0,Archival,2
2023,Jun,A7M,0,Archival,2
2023,Jun,RTWB,0,RealTime,2
2023,Jun,T2M,0,Archival,2
2023,Jul,A2M,0,Archival,2
2023,Jul,A7M,0,Archival,2
2023,Jul,RTWB,0,RealTime,2
2023,Jul,T2M,0,Archival,2
2023,Aug,A2M,0,Archival,2
