Month,Year,PercentOccurrence,Period,Site,DeviceType
May,2021,0,2,RTWB,Real Time
June,2021,3,2,RTWB,Real Time
July,2021,0,2,RTWB,Real Time
August,2021,0,2,RTWB,Real Time
September,2021,3,2,RTWB,Real Time
October,2021,0,2,RTWB,Real Time
November,2021,3,2,RTWB,Real Time
December,2021,42,2,RTWB,Real Time
January,2022,33,2,RTWB,Real Time
February,2022,11,2,RTWB,Real Time
March,2022,17,2,RTWB,Real Time
April,2022,0,2,RTWB,Real Time
May,2022,0,2,RTWB,Real Time
June,2022,0,2,RTWB,Real Time
July,2022,0,2,RTWB,Real Time
August,2022,6,2,RTWB,Real Time
September,2022,0,2,RTWB,Real Time
October,2022,0,2,RTWB,Real Time
November,2022,7,2,RTWB,Real Time
December,2022,26,2,RTWB,Real Time
January,2023,48,2,RTWB,Real Time
February,2023,68,2,RTWB,Real Time
March,2023,39,2,RTWB,Real Time
April,2023,3,2,RTWB,Real Time
May,2023,0,2,RTWB,Real Time
