year,month,site,device_type,days_monitored,days_present,percent_occurrence
2014,Nov,A2M,Archival,28,4,14
2014,Nov,A7M,Archival,28,5,18
2014,Nov,T2M,Archival,28,3,11
2014,Dec,A2M,Archival,31,15,48
2014,Dec,A7M,Archival,31,17,55
2014,Dec,T2M,Archival,31,9,29
2015,Jan,A2M,Archival,31,10,32
2015,Jan,A7M,Archival,31,19,61
2015,Jan,T2M,Archival,31,18,58
2015,Feb,A2M,Archival,28,10,36
2015,Feb,A7M,Archival,28,13,46
2015,Feb,T2M,Archival,28,11,39
2015,Mar,A2M,Archival,31,10,32
2015,Mar,A7M,Archival,31,10,32
2015,Mar,T2M,Archival,31,12,39
2015,Apr,A2M,Archival,30,0,0
2015,Apr,A7M,Archival,30,1,3
2015,Apr,T2M,Archival,30,3,10
2015,May,A2M,Archival,31,0,0
2015,May,A7M,Archival,31,1,3
2015,May,T2M,Archival,31,1,3
2015,Jun,A2M,Archival,30,2,7
2015,Jun,A7M,Archival,30,2,7
2015,Jun,T2M,Archival,30,2,7
2015,Jul,A2M,Archival,31,1,3
2015,Jul,A7M,Archival,31,1,3
2015,Jul,T2M,Archival,31,1,3
2015,Aug,A2M,Archival,23,0,0
2015,Aug,A7M,Archival,31,0,0
2015,Aug,T2M,Archival,31,1,3
2015,Sep,A2M,Archival,12,0,0
2015,Sep,A7M,Archival,30,0,0
2015,Sep,T2M,Archival,30,0,0
2015,Oct,A2M,Archival,31,1,3
2015,Oct,A7M,Archival,31,0,0
2015,Oct,T2M,Archival,31,0,0
2015,Nov,A2M,Archival,30,6,20
2015,Nov,A7M,Archival,30,6,20
2015,Nov,T2M,Archival,30,2,7
2015,Dec,A2M,Archival,31,15,48
2015,Dec,A7M,Archival,31,9,29
2015,Dec,T2M,Archival,31,7,23
2016,Jan,A2M,Archival,31,16,52
2016,Jan,A7M,Archival,31,17,55
2016,Jan,T2M,Archival,31,16,52
2016,Feb,A2M,Archival,28,17,61
2016,Feb,A7M,Archival,28,18,64
2016,Feb,T2M,Archival,28,14,50
2016,Mar,A2M,Archival,31,20,65
2016,Mar,A7M,Archival,31,24,77
2016,Mar,T2M,Archival,31,24,77
2016,Apr,A2M,Archival,30,1,3
2016,Apr,A7M,Archival,30,1,3
2016,Apr,T2M,Archival,30,3,10
2016,May,A2M,Archival,31,0,0
2016,May,A7M,Archival,31,0,0
2016,May,T2M,Archival,31,0,0
2016,Jun,A2M,Archival,30,0,0
2016,Jun,A7M,Archival,30,0,0
2016,Jun,T2M,Archival,30,0,0
2016,Jul,A2M,Archival,24,0,0
2016,Jul,A7M,Archival,24,0,0
2016,Jul,T2M,Archival,24,0,0
2016,Aug,A2M,Archival,31,0,0
2016,Aug,A7M,Archival,31,0,0
2016,Aug,T2M,Archival,31,0,0
2016,Sep,A2M,Archival,30,0,0
2016,Sep,A7M,Archival,30,0,0
2016,Sep,T2M,Archival,30,1,3
2016,Oct,A2M,Archival,31,0,0
2016,Oct,A7M,Archival,31,1,3
2016,Oct,T2M,Archival,31,1,3
2016,Nov,A2M,Archival,30,3,10
2016,Nov,A7M,Archival,30,3,10
2016,Nov,T2M,Archival,30,1,3
2016,Dec,A2M,Archival,30,10,33
2016,Dec,A7M,Archival,31,9,29
2016,Dec,T2M,Archival,28,0,0
2017,Jan,A2M,Archival,31,12,39
2017,Jan,A7M,Archival,31,13,42
2017,Jan,T2M,Archival,24,10,42
2017,Feb,A2M,Archival,28,0,0
2017,Feb,A7M,Archival,28,0,0
2017,Feb,T2M,Archival,28,1,4
2017,Mar,A2M,Archival,31,4,13
2017,Mar,A7M,Archival,31,6,19
2017,Mar,T2M,Archival,31,5,16
2017,Apr,A2M,Archival,30,0,0
2017,Apr,A7M,Archival,30,1,3
2017,Apr,T2M,Archival,30,0,0
2017,May,A2M,Archival,31,0,0
2017,May,A7M,Archival,31,0,0
2017,May,T2M,Archival,31,0,0
2017,Jun,A2M,Archival,33,1,3
2017,Jun,A7M,Archival,33,3,9
2017,Jun,T2M,Archival,32,2,6
2017,Jul,A2M,Archival,31,0,0
2017,Jul,A7M,Archival,31,0,0
2017,Jul,T2M,Archival,31,0,0
2017,Aug,A2M,Archival,31,0,0
2017,Aug,A7M,Archival,31,0,0
2017,Aug,T2M,Archival,31,0,0
2017,Sep,A2M,Archival,30,0,0
2017,Sep,A7M,Archival,30,0,0
2017,Sep,T2M,Archival,30,0,0
2017,Oct,A2M,Archival,31,0,0
2017,Oct,A7M,Archival,31,0,0
2017,Oct,T2M,Archival,31,0,0
2017,Nov,A2M,Archival,23,0,0
2017,Nov,A7M,Archival,24,1,4
2017,Nov,T2M,Archival,23,0,0
2021,May,RTWB,RealTime,4,0,0
2021,Jun,RTWB,RealTime,29,1,3
2021,Jul,RTWB,RealTime,31,0,0
2021,Aug,RTWB,RealTime,31,0,0
2021,Sep,RTWB,RealTime,30,1,3
2021,Oct,RTWB,RealTime,31,0,0
2021,Nov,RTWB,RealTime,30,1,3
2021,Dec,RTWB,RealTime,31,13,42
2022,Jan,RTWB,RealTime,30,10,33
2022,Feb,RTWB,RealTime,28,3,11
2022,Mar,RTWB,RealTime,30,5,17
2022,Apr,RTWB,RealTime,30,0,0
2022,May,RTWB,RealTime,31,0,0
2022,Jun,RTWB,RealTime,30,0,0
2022,Jul,RTWB,RealTime,35,0,0
2022,Aug,RTWB,RealTime,31,2,6
2022,Sep,RTWB,RealTime,30,0,0
2022,Oct,RTWB,RealTime,31,0,0
2022,Nov,RTWB,RealTime,30,2,7
2022,Dec,RTWB,RealTime,31,8,26
2023,Jan,RTWB,RealTime,31,15,48
2023,Feb,RTWB,RealTime,28,19,68
2023,Mar,RTWB,RealTime,31,12,39
2023,Apr,A2M,Archival,11,0,0
2023,Apr,A7M,Archival,11,0,0
