period_start,device_type,site,days_monitored,days_present,percent_occurrence,mean_chla
11/5/14,Archival,A2M,8,0,0,2.470059955
11/5/14,Archival,A7M,8,0,0,1.633411998
11/5/14,Archival,T2M,8,0,0,1.836012065
11/13/14,Archival,A2M,8,1,12.5,1.952855998
11/13/14,Archival,A7M,8,0,0,1.247422278
11/13/14,Archival,T2M,8,0,0,0.978516656
11/21/14,Archival,A2M,8,3,37.5,3.714647233
11/21/14,Archival,A7M,8,5,62.5,2.864080983
11/21/14,Archival,T2M,8,3,37.5,2.161379588
11/29/14,Archival,A2M,8,3,37.5,2.462706196
11/29/14,Archival,A7M,8,1,12.5,1.851084256
11/29/14,Archival,T2M,8,1,12.5,1.425712162
12/7/14,Archival,A2M,8,5,62.5,NA
12/7/14,Archival,A7M,8,7,87.5,NA
12/7/14,Archival,T2M,8,2,25,NA
12/15/14,Archival,A2M,8,0,0,2.496237874
12/15/14,Archival,A7M,8,2,25,1.529280716
12/15/14,Archival,T2M,8,2,25,1.29322691
12/23/14,Archival,A2M,8,7,87.5,2.248710364
12/23/14,Archival,A7M,8,7,87.5,1.895364362
12/23/14,Archival,T2M,8,4,50,1.302766648
12/31/14,Archival,A2M,8,0,0,NA
12/31/14,Archival,A7M,8,1,12.5,3.539185286
12/31/14,Archival,T2M,8,0,0,2.878042912
1/5/15,Archival,A2M,8,0,0,2.913380361
1/5/15,Archival,A7M,8,5,62.5,2.011083114
1/5/15,Archival,T2M,8,4,50,1.73719005
1/13/15,Archival,A2M,8,4,50,2.494426632
1/13/15,Archival,A7M,8,7,87.5,1.538048249
1/13/15,Archival,T2M,8,7,87.5,1.168786976
1/21/15,Archival,A2M,8,5,62.5,1.665291342
1/21/15,Archival,A7M,8,6,75,0.651059496
1/21/15,Archival,T2M,8,5,62.5,0.533568719
1/29/15,Archival,A2M,8,3,37.5,5.151384187
1/29/15,Archival,A7M,8,3,37.5,3.594344556
1/29/15,Archival,T2M,8,4,50,2.606901777
2/6/15,Archival,A2M,8,3,37.5,5.281160533
2/6/15,Archival,A7M,8,3,37.5,5.25132339
2/6/15,Archival,T2M,8,2,25,4.720648086
2/14/15,Archival,A2M,8,3,37.5,4.993756247
2/14/15,Archival,A7M,8,6,75,3.395716608
2/14/15,Archival,T2M,8,5,62.5,2.567089802
2/22/15,Archival,A2M,8,2,25,2.896997857
2/22/15,Archival,A7M,8,2,25,2.176550013
2/22/15,Archival,T2M,8,2,25,1.654281753
3/2/15,Archival,A2M,8,4,50,NA
3/2/15,Archival,A7M,8,4,50,NA
3/2/15,Archival,T2M,8,3,37.5,NA
3/10/15,Archival,A2M,8,4,50,3.073046291
3/10/15,Archival,A7M,8,3,37.5,3.671378255
3/10/15,Archival,T2M,8,4,50,5.223754478
3/18/15,Archival,A2M,8,1,12.5,2.648019505
3/18/15,Archival,A7M,8,3,37.5,8.836072445
3/18/15,Archival,T2M,8,5,62.5,9.158496584
3/26/15,Archival,A2M,8,1,12.5,5.102125525
3/26/15,Archival,A7M,8,0,0,17.03671343
3/26/15,Archival,T2M,8,0,0,17.37302475
4/3/15,Archival,A2M,8,0,0,12.03049936
4/3/15,Archival,A7M,8,0,0,6.344321799
4/3/15,Archival,T2M,8,0,0,9.261087632
4/11/15,Archival,A2M,8,0,0,4.138188505
4/11/15,Archival,A7M,8,0,0,4.020244789
4/11/15,Archival,T2M,8,0,0,5.406941962
4/19/15,Archival,A2M,8,0,0,8.837542415
4/19/15,Archival,A7M,8,0,0,2.657239783
4/19/15,Archival,T2M,8,0,0,3.091363114
4/27/15,Archival,A2M,8,0,0,9.803477705
4/27/15,Archival,A7M,8,1,12.5,3.225383222
4/27/15,Archival,T2M,8,3,37.5,1.149248007
5/5/15,Archival,A2M,8,0,0,7.833707047
5/5/15,Archival,A7M,8,0,0,3.825453389
5/5/15,Archival,T2M,8,0,0,1.920281267
5/13/15,Archival,A2M,8,0,0,5.326023161
5/13/15,Archival,A7M,8,0,0,2.518293959
5/13/15,Archival,T2M,8,0,0,1.697129089
5/21/15,Archival,A2M,8,0,0,2.572332728
5/21/15,Archival,A7M,8,1,12.5,1.080549964
5/21/15,Archival,T2M,8,1,12.5,0.763656613
5/29/15,Archival,A2M,8,0,0,2.696171248
5/29/15,Archival,A7M,8,0,0,1.556064469
5/29/15,Archival,T2M,8,0,0,1.200329587
6/6/15,Archival,A2M,8,0,0,1.786062495
6/6/15,Archival,A7M,8,0,0,1.352045581
6/6/15,Archival,T2M,8,0,0,0.77588581
6/14/15,Archival,A2M,8,0,0,1.421212161
6/14/15,Archival,A7M,8,0,0,0.946870106
6/14/15,Archival,T2M,8,0,0,0.824789238
6/22/15,Archival,A2M,8,2,25,1.162140101
6/22/15,Archival,A7M,8,2,25,0.8169853
6/22/15,Archival,T2M,8,2,25,0.664665571
6/30/15,Archival,A2M,8,0,0,1.973734859
