Month,Year,PercentOccurrence,Period,Site,DeviceType
November,2014,18,1,A-7M,Archival
December,2014,55,1,A-7M,Archival
January,2015,61,1,A-7M,Archival
February,2015,46,1,A-7M,Archival
March,2015,32,1,A-7M,Archival
April,2015,3,1,A-7M,Archival
May,2015,3,1,A-7M,Archival
June,2015,7,1,A-7M,Archival
July,2015,3,1,A-7M,Archival
August,2015,0,1,A-7M,Archival
September,2015,0,1,A-7M,Archival
October,2015,0,1,A-7M,Archival
November,2015,20,1,A-7M,Archival
December,2015,29,1,A-7M,Archival
January,2016,55,1,A-7M,Archival
February,2016,64,1,A-7M,Archival
March,2016,77,1,A-7M,Archival
April,2016,3,1,A-7M,Archival
May,2016,0,1,A-7M,Archival
June,2016,0,1,A-7M,Archival
July,2016,0,1,A-7M,Archival
August,2016,0,1,A-7M,Archival
September,2016,0,1,A-7M,Archival
October,2016,3,1,A-7M,Archival
November,2016,10,1,A-7M,Archival
December,2016,29,1,A-7M,Archival
January,2017,42,1,A-7M,Archival
February,2017,0,1,A-7M,Archival
March,2017,19,1,A-7M,Archival
April,2017,3,1,A-7M,Archival
May,2017,0,1,A-7M,Archival
June,2017,9,1,A-7M,Archival
July,2017,0,1,A-7M,Archival
August,2017,0,1,A-7M,Archival
September,2017,0,1,A-7M,Archival
October,2017,0,1,A-7M,Archival
November,2017,4,1,A-7M,Archival
May,2021,0,2,RTWB,Real Time
June,2021,3,2,RTWB,Real Time
July,2021,0,2,RTWB,Real Time
August,2021,0,2,RTWB,Real Time
September,2021,0,2,RTWB,Real Time
October,2021,0,2,RTWB,Real Time
November,2021,3,2,RTWB,Real Time
December,2021,42,2,RTWB,Real Time
January,2022,32,2,RTWB,Real Time
February,2022,11,2,RTWB,Real Time
March,2022,16,2,RTWB,Real Time
April,2022,0,2,RTWB,Real Time
May,2022,0,2,RTWB,Real Time
June,2022,0,2,RTWB,Real Time
July,2022,0,2,RTWB,Real Time
August,2022,6,2,RTWB,Real Time
September,2022,0,2,RTWB,Real Time
October,2022,0,2,RTWB,Real Time
November,2022,7,2,RTWB,Real Time
December,2022,26,2,RTWB,Real Time
January,2023,48,2,RTWB,Real Time
February,2023,68,2,RTWB,Real Time
March,2023,39,2,RTWB,Real Time
April,2023,0,2,A-7M,Archival
April,2023,3,2,RTWB,Real Time
May,2023,0,2,A-7M,Archival
May,2023,0,2,RTWB,Real Time
June,2023,0,2,A-7M,Archival
June,2023,0,2,RTWB,Real Time
July,2023,0,2,A-7M,Archival
July,2023,0,2,RTWB,Real Time
August,2023,0,2,A-7M,Archival
August,2023,0,2,RTWB,Real Time
September,2023,0,2,A-7M,Archival
September,2023,0,2,RTWB,Real Time
October,2023,0,2,A-7M,Archival
October,2023,0,2,RTWB,Real Time
November,2023,7,2,A-7M,Archival
November,2023,3,2,RTWB,Real Time
December,2023,45,2,A-7M,Archival
December,2023,35,2,RTWB,Real Time
January,2024,94,2,A-7M,Archival
January,2024,68,2,RTWB,Real Time
February,2024,28,2,A-7M,Archival
February,2024,28,2,RTWB,Real Time
March,2024,45,2,A-7M,Archival
March,2024,39,2,RTWB,Real Time
April,2024,12,2,A-7M,Archival
April,2024,20,2,RTWB,Real Time
May,2024,13,2,RTWB,Real Time
June,2024,3,2,RTWB,Real Time
July,2024,0,2,RTWB,Real Time
October,2024,0,2,RTWB,Real Time
November,2024,7,2,RTWB,Real Time
December,2024,39,2,RTWB,Real Time
