date,daily_occurrence,site,device_type
11/3/14,0,A7M,Archival
11/3/14,0,A2M,Archival
11/3/14,0,T2M,Archival
11/4/14,0,A7M,Archival
11/4/14,0,A2M,Archival
11/4/14,0,T2M,Archival
11/5/14,0,A7M,Archival
11/5/14,0,A2M,Archival
11/5/14,0,T2M,Archival
11/6/14,0,A7M,Archival
11/6/14,0,A2M,Archival
11/6/14,0,T2M,Archival
11/7/14,0,A7M,Archival
11/7/14,0,A2M,Archival
11/7/14,0,T2M,Archival
11/8/14,0,A7M,Archival
11/8/14,0,A2M,Archival
11/8/14,0,T2M,Archival
11/9/14,0,A7M,Archival
11/9/14,0,A2M,Archival
11/9/14,0,T2M,Archival
11/10/14,0,A7M,Archival
11/10/14,0,A2M,Archival
11/10/14,0,T2M,Archival
11/11/14,0,A7M,Archival
11/11/14,0,A2M,Archival
11/11/14,0,T2M,Archival
11/12/14,0,A7M,Archival
11/12/14,0,A2M,Archival
11/12/14,0,T2M,Archival
11/13/14,0,A7M,Archival
11/13/14,0,A2M,Archival
11/13/14,0,T2M,Archival
11/14/14,0,A7M,Archival
11/14/14,0,A2M,Archival
11/14/14,0,T2M,Archival
11/15/14,0,A7M,Archival
11/15/14,0,A2M,Archival
11/15/14,0,T2M,Archival
11/16/14,0,A7M,Archival
11/16/14,1,A2M,Archival
11/16/14,0,T2M,Archival
11/17/14,0,A7M,Archival
11/17/14,0,A2M,Archival
11/17/14,0,T2M,Archival
11/18/14,0,A7M,Archival
11/18/14,0,A2M,Archival
11/18/14,0,T2M,Archival
11/19/14,0,A7M,Archival
11/19/14,0,A2M,Archival
11/19/14,0,T2M,Archival
11/20/14,0,A7M,Archival
11/20/14,0,A2M,Archival
11/20/14,0,T2M,Archival
11/21/14,0,A7M,Archival
11/21/14,1,A2M,Archival
11/21/14,0,T2M,Archival
11/22/14,0,A7M,Archival
11/22/14,0,A2M,Archival
11/22/14,0,T2M,Archival
11/23/14,1,A7M,Archival
11/23/14,0,A2M,Archival
11/23/14,0,T2M,Archival
11/24/14,1,A7M,Archival
11/24/14,0,A2M,Archival
11/24/14,1,T2M,Archival
11/25/14,1,A7M,Archival
11/25/14,1,A2M,Archival
11/25/14,0,T2M,Archival
11/26/14,1,A7M,Archival
11/26/14,1,A2M,Archival
11/26/14,1,T2M,Archival
11/27/14,1,A7M,Archival
11/27/14,0,A2M,Archival
11/27/14,1,T2M,Archival
11/28/14,0,A7M,Archival
11/28/14,0,A2M,Archival
11/28/14,0,T2M,Archival
11/29/14,0,A7M,Archival
11/29/14,0,A2M,Archival
11/29/14,0,T2M,Archival
11/30/14,0,A7M,Archival
11/30/14,0,A2M,Archival
11/30/14,0,T2M,Archival
12/1/14,0,A7M,Archival
12/1/14,1,A2M,Archival
12/1/14,0,T2M,Archival
12/2/14,0,A7M,Archival
12/2/14,0,A2M,Archival
12/2/14,0,T2M,Archival
12/3/14,0,A7M,Archival
12/3/14,1,A2M,Archival
12/3/14,0,T2M,Archival
