Date,Month,Year,Recording Device,Site
11/5/14,November,2014,MARU,A-2M
11/5/14,November,2014,MARU,A-7M
11/5/14,November,2014,MARU,T-2M
12/1/14,December,2014,MARU,A-2M
12/1/14,December,2014,MARU,A-7M
12/1/14,December,2014,MARU,T-2M
1/1/15,January,2015,MARU,A-2M
1/1/15,January,2015,MARU,A-7M
1/1/15,January,2015,MARU,T-2M
2/1/15,February,2015,MARU,A-2M
2/1/15,February,2015,MARU,A-7M
2/1/15,February,2015,MARU,T-2M
3/1/15,March,2015,MARU,A-2M
3/1/15,March,2015,MARU,A-7M
3/1/15,March,2015,MARU,T-2M
4/1/15,April,2015,MARU,A-2M
4/1/15,April,2015,MARU,A-7M
4/1/15,April,2015,MARU,T-2M
5/1/15,May,2015,MARU,A-2M
5/1/15,May,2015,MARU,A-7M
5/1/15,May,2015,MARU,T-2M
6/1/15,June,2015,MARU,A-2M
6/1/15,June,2015,MARU,A-7M
6/1/15,June,2015,MARU,T-2M
7/1/15,July,2015,MARU,A-2M
7/1/15,July,2015,MARU,A-7M
7/1/15,July,2015,MARU,T-2M
8/1/15,August,2015,MARU,A-2M
8/1/15,August,2015,MARU,A-7M
8/1/15,August,2015,MARU,T-2M
9/1/15,September,2015,MARU,A-2M
9/1/15,September,2015,MARU,A-7M
9/1/15,September,2015,MARU,T-2M
10/1/15,October,2015,MARU,A-2M
10/1/15,October,2015,MARU,A-7M
10/1/15,October,2015,MARU,T-2M
11/1/15,November,2015,MARU,A-2M
11/1/15,November,2015,MARU,A-7M
11/1/15,November,2015,MARU,T-2M
12/1/15,December,2015,MARU,A-2M
12/1/15,December,2015,MARU,A-7M
12/1/15,December,2015,MARU,T-2M
1/1/16,January,2016,MARU,A-2M
1/1/16,January,2016,MARU,A-7M
1/1/16,January,2016,MARU,T-2M
2/1/16,February,2016,MARU,A-2M
2/1/16,February,2016,MARU,A-7M
2/1/16,February,2016,MARU,T-2M
3/1/16,March,2016,MARU,A-2M
3/1/16,March,2016,MARU,A-7M
3/1/16,March,2016,MARU,T-2M
4/1/16,April,2016,MARU,A-2M
4/1/16,April,2016,MARU,A-7M
4/1/16,April,2016,MARU,T-2M
5/1/16,May,2016,MARU,A-2M
5/1/16,May,2016,MARU,A-7M
5/1/16,May,2016,MARU,T-2M
6/1/16,June,2016,MARU,A-2M
6/1/16,June,2016,MARU,A-7M
6/1/16,June,2016,MARU,T-2M
7/1/16,July,2016,MARU,A-2M
7/1/16,July,2016,MARU,A-7M
7/1/16,July,2016,MARU,T-2M
8/1/16,August,2016,MARU,A-2M
8/1/16,August,2016,MARU,A-7M
8/1/16,August,2016,MARU,T-2M
9/1/16,September,2016,MARU,A-2M
9/1/16,September,2016,MARU,A-7M
9/1/16,September,2016,MARU,T-2M
10/1/16,October,2016,MARU,A-2M
10/1/16,October,2016,MARU,A-7M
10/1/16,October,2016,MARU,T-2M
11/1/16,November,2016,MARU,A-2M
11/1/16,November,2016,MARU,A-7M
11/1/16,November,2016,MARU,T-2M
12/1/16,December,2016,MARU,A-2M
12/1/16,December,2016,MARU,A-7M
12/1/16,December,2016,MARU,T-2M
1/1/17,January,2017,MARU,A-2M
1/1/17,January,2017,MARU,A-7M
1/1/17,January,2017,MARU,T-2M
2/1/17,February,2017,MARU,A-2M
2/1/17,February,2017,MARU,A-7M
2/1/17,February,2017,MARU,T-2M
3/1/17,March,2017,MARU,A-2M
3/1/17,March,2017,MARU,A-7M
