"period_start","device_type","site","days_monitored","days_present","percent_occurrence"
2014-11-05,"Archival","A2M",8,0,0
2014-11-05,"Archival","A7M",8,0,0
2014-11-05,"Archival","T2M",8,0,0
2014-11-13,"Archival","A2M",8,1,12.5
2014-11-13,"Archival","A7M",8,0,0
2014-11-13,"Archival","T2M",8,0,0
2014-11-21,"Archival","A2M",8,3,37.5
2014-11-21,"Archival","A7M",8,5,62.5
2014-11-21,"Archival","T2M",8,3,37.5
2014-11-29,"Archival","A2M",8,3,37.5
2014-11-29,"Archival","A7M",8,1,12.5
2014-11-29,"Archival","T2M",8,1,12.5
2014-12-07,"Archival","A2M",8,5,62.5
2014-12-07,"Archival","A7M",8,7,87.5
2014-12-07,"Archival","T2M",8,2,25
2014-12-15,"Archival","A2M",8,0,0
2014-12-15,"Archival","A7M",8,2,25
2014-12-15,"Archival","T2M",8,2,25
2014-12-23,"Archival","A2M",8,7,87.5
2014-12-23,"Archival","A7M",8,7,87.5
2014-12-23,"Archival","T2M",8,4,50
2014-12-31,"Archival","A2M",8,0,0
2014-12-31,"Archival","A7M",8,1,12.5
2014-12-31,"Archival","T2M",8,0,0
2015-01-08,"Archival","A2M",8,1,12.5
2015-01-08,"Archival","A7M",8,6,75
2015-01-08,"Archival","T2M",8,6,75
2015-01-16,"Archival","A2M",8,6,75
2015-01-16,"Archival","A7M",8,8,100
2015-01-16,"Archival","T2M",8,8,100
2015-01-24,"Archival","A2M",8,3,37.5
2015-01-24,"Archival","A7M",8,4,50
2015-01-24,"Archival","T2M",8,4,50
2015-02-01,"Archival","A2M",8,5,62.5
2015-02-01,"Archival","A7M",8,4,50
2015-02-01,"Archival","T2M",8,3,37.5
2015-02-09,"Archival","A2M",8,1,12.5
2015-02-09,"Archival","A7M",8,3,37.5
2015-02-09,"Archival","T2M",8,1,12.5
2015-02-17,"Archival","A2M",8,4,50
2015-02-17,"Archival","A7M",8,4,50
2015-02-17,"Archival","T2M",8,5,62.5
2015-02-25,"Archival","A2M",8,1,12.5
2015-02-25,"Archival","A7M",8,3,37.5
2015-02-25,"Archival","T2M",8,3,37.5
2015-03-05,"Archival","A2M",8,5,62.5
2015-03-05,"Archival","A7M",8,3,37.5
2015-03-05,"Archival","T2M",8,3,37.5
2015-03-13,"Archival","A2M",8,3,37.5
2015-03-13,"Archival","A7M",8,5,62.5
2015-03-13,"Archival","T2M",8,5,62.5
2015-03-21,"Archival","A2M",8,0,0
2015-03-21,"Archival","A7M",8,1,12.5
2015-03-21,"Archival","T2M",8,3,37.5
2015-03-29,"Archival","A2M",8,1,12.5
2015-03-29,"Archival","A7M",8,0,0
2015-03-29,"Archival","T2M",8,0,0
2015-04-06,"Archival","A2M",8,0,0
2015-04-06,"Archival","A7M",8,0,0
2015-04-06,"Archival","T2M",8,0,0
2015-04-14,"Archival","A2M",8,0,0
2015-04-14,"Archival","A7M",8,0,0
2015-04-14,"Archival","T2M",8,0,0
2015-04-22,"Archival","A2M",8,0,0
2015-04-22,"Archival","A7M",8,1,12.5
2015-04-22,"Archival","T2M",8,2,25
2015-04-30,"Archival","A2M",8,0,0
2015-04-30,"Archival","A7M",8,0,0
2015-04-30,"Archival","T2M",8,1,12.5
2015-05-08,"Archival","A2M",8,0,0
2015-05-08,"Archival","A7M",8,0,0
2015-05-08,"Archival","T2M",8,0,0
2015-05-16,"Archival","A2M",8,0,0
2015-05-16,"Archival","A7M",8,0,0
2015-05-16,"Archival","T2M",8,0,0
2015-05-24,"Archival","A2M",8,0,0
2015-05-24,"Archival","A7M",8,1,12.5
2015-05-24,"Archival","T2M",8,1,12.5
2015-06-01,"Archival","A2M",8,0,0
2015-06-01,"Archival","A7M",8,0,0
2015-06-01,"Archival","T2M",8,0,0
2015-06-09,"Archival","A2M",8,0,0
2015-06-09,"Archival","A7M",8,0,0
2015-06-09,"Archival","T2M",8,0,0
2015-06-17,"Archival","A2M",8,2,25
2015-06-17,"Archival","A7M",8,2,25
2015-06-17,"Archival","T2M",8,2,25
2015-06-25,"Archival","A2M",8,0,0
2015-06-25,"Archival","A7M",8,0,0
2015-06-25,"Archival","T2M",8,0,0
2015-07-03,"Archival","A2M",8,0,0
2015-07-03,"Archival","A7M",8,0,0
2015-07-03,"Archival","T2M",8,0,0
2015-07-11,"Archival","A2M",8,0,0
2015-07-11,"Archival","A7M",8,0,0
2015-07-11,"Archival","T2M",8,0,0
2015-07-19,"Archival","A2M",8,0,0
2015-07-19,"Archival","A7M",8,1,12.5
2015-07-19,"Archival","T2M",8,1,12.5
2015-07-27,"Archival","A2M",8,1,12.5
2015-07-27,"Archival","A7M",8,0,0
2015-07-27,"Archival","T2M",8,0,0
2015-08-04,"Archival","A2M",8,0,0
2015-08-04,"Archival","A7M",8,0,0
2015-08-04,"Archival","T2M",8,0,0
2015-08-12,"Archival","A2M",8,0,0
2015-08-12,"Archival","A7M",8,0,0
2015-08-12,"Archival","T2M",8,0,0
2015-08-20,"Archival","A2M",4,0,0
2015-08-20,"Archival","A7M",8,0,0
2015-08-20,"Archival","T2M",8,0,0
2015-08-28,"Archival","A7M",8,0,0
2015-08-28,"Archival","T2M",8,1,12.5
2015-09-05,"Archival","A7M",8,0,0
2015-09-05,"Archival","T2M",8,0,0
2015-09-13,"Archival","A2M",2,0,0
2015-09-13,"Archival","A7M",8,0,0
2015-09-13,"Archival","T2M",8,0,0
2015-09-21,"Archival","A2M",8,0,0
2015-09-21,"Archival","A7M",8,0,0
2015-09-21,"Archival","T2M",8,0,0
2015-09-29,"Archival","A2M",8,0,0
2015-09-29,"Archival","A7M",8,0,0
2015-09-29,"Archival","T2M",8,0,0
2015-10-07,"Archival","A2M",8,0,0
2015-10-07,"Archival","A7M",8,0,0
2015-10-07,"Archival","T2M",8,0,0
2015-10-15,"Archival","A2M",8,0,0
2015-10-15,"Archival","A7M",8,0,0
2015-10-15,"Archival","T2M",8,0,0
2015-10-23,"Archival","A2M",8,0,0
2015-10-23,"Archival","A7M",8,0,0
2015-10-23,"Archival","T2M",8,0,0
2015-10-31,"Archival","A2M",8,1,12.5
2015-10-31,"Archival","A7M",8,0,0
2015-10-31,"Archival","T2M",8,0,0
2015-11-08,"Archival","A2M",8,0,0
2015-11-08,"Archival","A7M",8,2,25
2015-11-08,"Archival","T2M",8,0,0
2015-11-16,"Archival","A2M",8,0,0
2015-11-16,"Archival","A7M",8,0,0
2015-11-16,"Archival","T2M",8,0,0
2015-11-24,"Archival","A2M",8,7,87.5
2015-11-24,"Archival","A7M",8,4,50
2015-11-24,"Archival","T2M",8,2,25
2015-12-02,"Archival","A2M",8,6,75
2015-12-02,"Archival","A7M",8,5,62.5
2015-12-02,"Archival","T2M",8,3,37.5
2015-12-10,"Archival","A2M",8,4,50
2015-12-10,"Archival","A7M",8,2,25
2015-12-10,"Archival","T2M",8,2,25
2015-12-18,"Archival","A2M",8,0,0
2015-12-18,"Archival","A7M",8,0,0
2015-12-18,"Archival","T2M",8,0,0
2015-12-26,"Archival","A2M",8,6,75
2015-12-26,"Archival","A7M",8,3,37.5
2015-12-26,"Archival","T2M",8,3,37.5
2016-01-03,"Archival","A2M",8,2,25
2016-01-03,"Archival","A7M",8,4,50
2016-01-03,"Archival","T2M",8,2,25
2016-01-11,"Archival","A2M",8,5,62.5
2016-01-11,"Archival","A7M",8,4,50
2016-01-11,"Archival","T2M",8,4,50
2016-01-19,"Archival","A2M",8,2,25
2016-01-19,"Archival","A7M",8,3,37.5
2016-01-19,"Archival","T2M",8,4,50
2016-01-27,"Archival","A2M",8,8,100
2016-01-27,"Archival","A7M",8,8,100
2016-01-27,"Archival","T2M",8,8,100
2016-02-04,"Archival","A2M",8,6,75
2016-02-04,"Archival","A7M",8,8,100
2016-02-04,"Archival","T2M",8,8,100
2016-02-12,"Archival","A2M",8,4,50
2016-02-12,"Archival","A7M",8,3,37.5
2016-02-12,"Archival","T2M",8,2,25
2016-02-20,"Archival","A2M",8,3,37.5
2016-02-20,"Archival","A7M",8,3,37.5
2016-02-20,"Archival","T2M",8,1,12.5
2016-02-28,"Archival","A2M",7,5,71.4285714285714
2016-02-28,"Archival","A7M",7,5,71.4285714285714
2016-02-28,"Archival","T2M",7,4,57.1428571428571
2016-03-07,"Archival","A2M",8,6,75
2016-03-07,"Archival","A7M",8,6,75
2016-03-07,"Archival","T2M",8,7,87.5
2016-03-15,"Archival","A2M",8,7,87.5
2016-03-15,"Archival","A7M",8,7,87.5
2016-03-15,"Archival","T2M",8,6,75
2016-03-23,"Archival","A2M",8,3,37.5
2016-03-23,"Archival","A7M",8,7,87.5
2016-03-23,"Archival","T2M",8,7,87.5
2016-03-31,"Archival","A2M",8,1,12.5
2016-03-31,"Archival","A7M",8,1,12.5
2016-03-31,"Archival","T2M",8,1,12.5
2016-04-08,"Archival","A2M",8,0,0
2016-04-08,"Archival","A7M",8,0,0
2016-04-08,"Archival","T2M",8,2,25
2016-04-16,"Archival","A2M",8,0,0
2016-04-16,"Archival","A7M",8,0,0
2016-04-16,"Archival","T2M",8,0,0
2016-04-24,"Archival","A2M",8,0,0
2016-04-24,"Archival","A7M",8,0,0
2016-04-24,"Archival","T2M",8,0,0
2016-05-02,"Archival","A2M",8,0,0
2016-05-02,"Archival","A7M",8,0,0
2016-05-02,"Archival","T2M",8,0,0
2016-05-10,"Archival","A2M",8,0,0
2016-05-10,"Archival","A7M",8,0,0
2016-05-10,"Archival","T2M",8,0,0
2016-05-18,"Archival","A2M",8,0,0
2016-05-18,"Archival","A7M",8,0,0
2016-05-18,"Archival","T2M",8,0,0
2016-05-26,"Archival","A2M",8,0,0
2016-05-26,"Archival","A7M",8,0,0
2016-05-26,"Archival","T2M",8,0,0
2016-06-03,"Archival","A2M",8,0,0
2016-06-03,"Archival","A7M",8,0,0
2016-06-03,"Archival","T2M",8,0,0
2016-06-11,"Archival","A2M",8,0,0
2016-06-11,"Archival","A7M",8,0,0
2016-06-11,"Archival","T2M",8,0,0
2016-06-19,"Archival","A2M",8,0,0
2016-06-19,"Archival","A7M",8,0,0
2016-06-19,"Archival","T2M",8,0,0
2016-06-27,"Archival","A2M",8,0,0
2016-06-27,"Archival","A7M",8,0,0
2016-06-27,"Archival","T2M",8,0,0
2016-07-05,"Archival","A2M",8,0,0
2016-07-05,"Archival","A7M",8,0,0
2016-07-05,"Archival","T2M",8,0,0
2016-07-13,"Archival","A2M",5,0,0
2016-07-13,"Archival","A7M",5,0,0
2016-07-13,"Archival","T2M",5,0,0
2016-07-21,"Archival","A2M",4,0,0
2016-07-21,"Archival","A7M",4,0,0
2016-07-21,"Archival","T2M",4,0,0
2016-07-29,"Archival","A2M",8,0,0
2016-07-29,"Archival","A7M",8,0,0
2016-07-29,"Archival","T2M",8,0,0
2016-08-06,"Archival","A2M",8,0,0
2016-08-06,"Archival","A7M",8,0,0
2016-08-06,"Archival","T2M",8,0,0
2016-08-14,"Archival","A2M",8,0,0
2016-08-14,"Archival","A7M",8,0,0
2016-08-14,"Archival","T2M",8,0,0
2016-08-22,"Archival","A2M",8,0,0
2016-08-22,"Archival","A7M",8,0,0
2016-08-22,"Archival","T2M",8,0,0
2016-08-30,"Archival","A2M",8,0,0
2016-08-30,"Archival","A7M",8,0,0
2016-08-30,"Archival","T2M",8,0,0
2016-09-07,"Archival","A2M",8,0,0
2016-09-07,"Archival","A7M",8,0,0
2016-09-07,"Archival","T2M",8,0,0
2016-09-15,"Archival","A2M",8,0,0
2016-09-15,"Archival","A7M",8,0,0
2016-09-15,"Archival","T2M",8,0,0
2016-09-23,"Archival","A2M",8,0,0
2016-09-23,"Archival","A7M",8,0,0
2016-09-23,"Archival","T2M",8,1,12.5
2016-10-01,"Archival","A2M",8,0,0
2016-10-01,"Archival","A7M",8,0,0
2016-10-01,"Archival","T2M",8,0,0
2016-10-09,"Archival","A2M",8,0,0
2016-10-09,"Archival","A7M",8,0,0
2016-10-09,"Archival","T2M",8,0,0
2016-10-17,"Archival","A2M",8,0,0
2016-10-17,"Archival","A7M",8,1,12.5
2016-10-17,"Archival","T2M",8,1,12.5
2016-10-25,"Archival","A2M",8,0,0
2016-10-25,"Archival","A7M",8,0,0
2016-10-25,"Archival","T2M",8,0,0
2016-11-02,"Archival","A2M",8,0,0
2016-11-02,"Archival","A7M",8,0,0
2016-11-02,"Archival","T2M",8,0,0
2016-11-10,"Archival","A2M",8,0,0
2016-11-10,"Archival","A7M",8,1,12.5
2016-11-10,"Archival","T2M",8,1,12.5
2016-11-18,"Archival","A2M",8,2,25
2016-11-18,"Archival","A7M",8,1,12.5
2016-11-18,"Archival","T2M",8,0,0
2016-11-26,"Archival","A2M",7,3,42.8571428571429
2016-11-26,"Archival","A7M",8,1,12.5
2016-11-26,"Archival","T2M",8,0,0
2016-12-04,"Archival","A2M",8,1,12.5
2016-12-04,"Archival","A7M",8,0,0
2016-12-04,"Archival","T2M",8,0,0
2016-12-12,"Archival","A2M",8,2,25
2016-12-12,"Archival","A7M",8,2,25
2016-12-12,"Archival","T2M",8,0,0
2016-12-20,"Archival","A2M",8,3,37.5
2016-12-20,"Archival","A7M",8,3,37.5
2016-12-20,"Archival","T2M",8,0,0
2016-12-28,"Archival","A2M",8,6,75
2016-12-28,"Archival","A7M",8,8,100
2016-12-28,"Archival","T2M",1,0,0
2017-01-05,"Archival","A2M",8,3,37.5
2017-01-05,"Archival","A7M",8,3,37.5
2017-01-05,"Archival","T2M",5,2,40
2017-01-13,"Archival","A2M",8,4,50
2017-01-13,"Archival","A7M",8,3,37.5
2017-01-13,"Archival","T2M",8,5,62.5
2017-01-21,"Archival","A2M",8,0,0
2017-01-21,"Archival","A7M",8,2,25
2017-01-21,"Archival","T2M",8,2,25
2017-01-29,"Archival","A2M",8,1,12.5
