period_start,device_type,site,days_monitored,days_present,percent_occurrence
1/5/15,Archival,A2M,8,0,0
1/5/15,Archival,A7M,8,5,62.5
1/5/15,Archival,T2M,8,4,50
1/13/15,Archival,A2M,8,4,50
1/13/15,Archival,A7M,8,7,87.5
1/13/15,Archival,T2M,8,7,87.5
1/21/15,Archival,A2M,8,5,62.5
1/21/15,Archival,A7M,8,6,75
1/21/15,Archival,T2M,8,5,62.5
1/29/15,Archival,A2M,8,3,37.5
1/29/15,Archival,A7M,8,3,37.5
1/29/15,Archival,T2M,8,4,50
2/6/15,Archival,A2M,8,3,37.5
2/6/15,Archival,A7M,8,3,37.5
2/6/15,Archival,T2M,8,2,25
2/14/15,Archival,A2M,8,3,37.5
2/14/15,Archival,A7M,8,6,75
2/14/15,Archival,T2M,8,5,62.5
2/22/15,Archival,A2M,8,2,25
2/22/15,Archival,A7M,8,2,25
2/22/15,Archival,T2M,8,2,25
3/2/15,Archival,A2M,8,4,50
3/2/15,Archival,A7M,8,4,50
3/2/15,Archival,T2M,8,3,37.5
3/10/15,Archival,A2M,8,4,50
3/10/15,Archival,A7M,8,3,37.5
3/10/15,Archival,T2M,8,4,50
3/18/15,Archival,A2M,8,1,12.5
3/18/15,Archival,A7M,8,3,37.5
3/18/15,Archival,T2M,8,5,62.5
3/26/15,Archival,A2M,8,1,12.5
3/26/15,Archival,A7M,8,0,0
3/26/15,Archival,T2M,8,0,0
4/3/15,Archival,A2M,8,0,0
4/3/15,Archival,A7M,8,0,0
4/3/15,Archival,T2M,8,0,0
4/11/15,Archival,A2M,8,0,0
4/11/15,Archival,A7M,8,0,0
4/11/15,Archival,T2M,8,0,0
4/19/15,Archival,A2M,8,0,0
4/19/15,Archival,A7M,8,0,0
4/19/15,Archival,T2M,8,0,0
4/27/15,Archival,A2M,8,0,0
4/27/15,Archival,A7M,8,1,12.5
4/27/15,Archival,T2M,8,3,37.5
5/5/15,Archival,A2M,8,0,0
5/5/15,Archival,A7M,8,0,0
5/5/15,Archival,T2M,8,0,0
5/13/15,Archival,A2M,8,0,0
5/13/15,Archival,A7M,8,0,0
5/13/15,Archival,T2M,8,0,0
5/21/15,Archival,A2M,8,0,0
5/21/15,Archival,A7M,8,1,12.5
5/21/15,Archival,T2M,8,1,12.5
5/29/15,Archival,A2M,8,0,0
5/29/15,Archival,A7M,8,0,0
5/29/15,Archival,T2M,8,0,0
6/6/15,Archival,A2M,8,0,0
6/6/15,Archival,A7M,8,0,0
6/6/15,Archival,T2M,8,0,0
6/14/15,Archival,A2M,8,0,0
6/14/15,Archival,A7M,8,0,0
6/14/15,Archival,T2M,8,0,0
6/22/15,Archival,A2M,8,2,25
6/22/15,Archival,A7M,8,2,25
6/22/15,Archival,T2M,8,2,25
6/30/15,Archival,A2M,8,0,0
6/30/15,Archival,A7M,8,0,0
6/30/15,Archival,T2M,8,0,0
7/8/15,Archival,A2M,8,0,0
7/8/15,Archival,A7M,8,0,0
7/8/15,Archival,T2M,8,0,0
7/16/15,Archival,A2M,8,0,0
7/16/15,Archival,A7M,8,0,0
7/16/15,Archival,T2M,8,0,0
7/24/15,Archival,A2M,8,1,12.5
7/24/15,Archival,A7M,8,1,12.5
7/24/15,Archival,T2M,8,1,12.5
8/1/15,Archival,A2M,8,0,0
8/1/15,Archival,A7M,8,0,0
8/1/15,Archival,T2M,8,0,0
8/9/15,Archival,A2M,8,0,0
8/9/15,Archival,A7M,8,0,0
8/9/15,Archival,T2M,8,0,0
8/17/15,Archival,A2M,7,0,0
8/17/15,Archival,A7M,8,0,0
8/17/15,Archival,T2M,8,0,0
8/25/15,Archival,A7M,8,0,0
8/25/15,Archival,T2M,8,1,12.5
9/2/15,Archival,A7M,8,0,0
9/2/15,Archival,T2M,8,0,0
9/10/15,Archival,A7M,8,0,0
9/10/15,Archival,T2M,8,0,0
9/18/15,Archival,A2M,7,0,0
9/18/15,Archival,A7M,8,0,0
9/18/15,Archival,T2M,8,0,0
9/26/15,Archival,A2M,8,0,0
9/26/15,Archival,A7M,8,0,0
9/26/15,Archival,T2M,8,0,0
10/4/15,Archival,A2M,8,0,0
10/4/15,Archival,A7M,8,0,0
10/4/15,Archival,T2M,8,0,0
10/12/15,Archival,A2M,8,0,0
10/12/15,Archival,A7M,8,0,0
10/12/15,Archival,T2M,8,0,0
10/20/15,Archival,A2M,8,0,0
10/20/15,Archival,A7M,8,0,0
10/20/15,Archival,T2M,8,0,0
10/28/15,Archival,A2M,8,1,12.5
10/28/15,Archival,A7M,8,0,0
10/28/15,Archival,T2M,8,0,0
11/5/15,Archival,A2M,8,0,0
11/5/15,Archival,A7M,8,1,12.5
11/5/15,Archival,T2M,8,0,0
11/13/15,Archival,A2M,8,0,0
11/13/15,Archival,A7M,8,1,12.5
11/13/15,Archival,T2M,8,0,0
11/21/15,Archival,A2M,8,4,50
11/21/15,Archival,A7M,8,2,25
11/21/15,Archival,T2M,8,1,12.5
11/29/15,Archival,A2M,8,6,75
11/29/15,Archival,A7M,8,4,50
11/29/15,Archival,T2M,8,2,25
12/7/15,Archival,A2M,8,6,75
12/7/15,Archival,A7M,8,5,62.5
12/7/15,Archival,T2M,8,4,50
12/15/15,Archival,A2M,8,1,12.5
12/15/15,Archival,A7M,8,0,0
12/15/15,Archival,T2M,8,0,0
12/23/15,Archival,A2M,8,3,37.5
12/23/15,Archival,A7M,8,1,12.5
12/23/15,Archival,T2M,8,1,12.5
12/31/15,Archival,A2M,8,5,62.5
12/31/15,Archival,A7M,8,6,75
12/31/15,Archival,T2M,8,4,50
1/8/16,Archival,A2M,8,2,25
1/8/16,Archival,A7M,8,2,25
1/8/16,Archival,T2M,8,2,25
1/16/16,Archival,A2M,8,3,37.5
1/16/16,Archival,A7M,8,2,25
1/16/16,Archival,T2M,8,3,37.5
1/24/16,Archival,A2M,8,7,87.5
1/24/16,Archival,A7M,8,8,100
1/24/16,Archival,T2M,8,8,100
2/1/16,Archival,A2M,8,8,100
2/1/16,Archival,A7M,8,8,100
2/1/16,Archival,T2M,8,8,100
