"period_start","device_type","site","days_monitored","days_present","percent_occurrence"
2016-01-05,"Archival","A2M",8,2,25
2016-01-05,"Archival","A7M",8,5,62.5
2016-01-05,"Archival","T2M",8,3,37.5
2016-01-13,"Archival","A2M",8,4,50
2016-01-13,"Archival","A7M",8,2,25
2016-01-13,"Archival","T2M",8,3,37.5
2016-01-21,"Archival","A2M",8,4,50
2016-01-21,"Archival","A7M",8,5,62.5
2016-01-21,"Archival","T2M",8,5,62.5
2016-01-29,"Archival","A2M",8,8,100
2016-01-29,"Archival","A7M",8,8,100
2016-01-29,"Archival","T2M",8,8,100
2016-02-06,"Archival","A2M",8,5,62.5
2016-02-06,"Archival","A7M",8,7,87.5
2016-02-06,"Archival","T2M",8,7,87.5
2016-02-14,"Archival","A2M",8,4,50
2016-02-14,"Archival","A7M",8,2,25
2016-02-14,"Archival","T2M",8,1,12.5
2016-02-22,"Archival","A2M",7,3,42.8571428571429
2016-02-22,"Archival","A7M",7,4,57.1428571428571
2016-02-22,"Archival","T2M",7,1,14.2857142857143
2016-03-01,"Archival","A2M",8,6,75
2016-03-01,"Archival","A7M",8,6,75
2016-03-01,"Archival","T2M",8,6,75
2016-03-09,"Archival","A2M",8,6,75
2016-03-09,"Archival","A7M",8,6,75
2016-03-09,"Archival","T2M",8,7,87.5
2016-03-17,"Archival","A2M",8,6,75
2016-03-17,"Archival","A7M",8,7,87.5
2016-03-17,"Archival","T2M",8,6,75
2016-03-25,"Archival","A2M",8,2,25
2016-03-25,"Archival","A7M",8,5,62.5
2016-03-25,"Archival","T2M",8,5,62.5
2016-04-02,"Archival","A2M",8,1,12.5
2016-04-02,"Archival","A7M",8,1,12.5
2016-04-02,"Archival","T2M",8,1,12.5
2016-04-10,"Archival","A2M",8,0,0
2016-04-10,"Archival","A7M",8,0,0
2016-04-10,"Archival","T2M",8,2,25
2016-04-18,"Archival","A2M",8,0,0
2016-04-18,"Archival","A7M",8,0,0
2016-04-18,"Archival","T2M",8,0,0
2016-04-26,"Archival","A2M",8,0,0
2016-04-26,"Archival","A7M",8,0,0
2016-04-26,"Archival","T2M",8,0,0
2016-05-04,"Archival","A2M",8,0,0
2016-05-04,"Archival","A7M",8,0,0
2016-05-04,"Archival","T2M",8,0,0
2016-05-12,"Archival","A2M",8,0,0
2016-05-12,"Archival","A7M",8,0,0
2016-05-12,"Archival","T2M",8,0,0
2016-05-20,"Archival","A2M",8,0,0
2016-05-20,"Archival","A7M",8,0,0
2016-05-20,"Archival","T2M",8,0,0
2016-05-28,"Archival","A2M",8,0,0
2016-05-28,"Archival","A7M",8,0,0
2016-05-28,"Archival","T2M",8,0,0
2016-06-05,"Archival","A2M",8,0,0
2016-06-05,"Archival","A7M",8,0,0
2016-06-05,"Archival","T2M",8,0,0
2016-06-13,"Archival","A2M",8,0,0
2016-06-13,"Archival","A7M",8,0,0
2016-06-13,"Archival","T2M",8,0,0
2016-06-21,"Archival","A2M",8,0,0
2016-06-21,"Archival","A7M",8,0,0
2016-06-21,"Archival","T2M",8,0,0
2016-06-29,"Archival","A2M",8,0,0
2016-06-29,"Archival","A7M",8,0,0
2016-06-29,"Archival","T2M",8,0,0
2016-07-07,"Archival","A2M",8,0,0
2016-07-07,"Archival","A7M",8,0,0
2016-07-07,"Archival","T2M",8,0,0
2016-07-15,"Archival","A2M",3,0,0
2016-07-15,"Archival","A7M",3,0,0
2016-07-15,"Archival","T2M",3,0,0
2016-07-23,"Archival","A2M",6,0,0
2016-07-23,"Archival","A7M",6,0,0
2016-07-23,"Archival","T2M",6,0,0
2016-07-31,"Archival","A2M",8,0,0
2016-07-31,"Archival","A7M",8,0,0
2016-07-31,"Archival","T2M",8,0,0
2016-08-08,"Archival","A2M",8,0,0
2016-08-08,"Archival","A7M",8,0,0
2016-08-08,"Archival","T2M",8,0,0
2016-08-16,"Archival","A2M",8,0,0
2016-08-16,"Archival","A7M",8,0,0
2016-08-16,"Archival","T2M",8,0,0
2016-08-24,"Archival","A2M",8,0,0
2016-08-24,"Archival","A7M",8,0,0
2016-08-24,"Archival","T2M",8,0,0
2016-09-01,"Archival","A2M",8,0,0
2016-09-01,"Archival","A7M",8,0,0
2016-09-01,"Archival","T2M",8,0,0
2016-09-09,"Archival","A2M",8,0,0
2016-09-09,"Archival","A7M",8,0,0
2016-09-09,"Archival","T2M",8,0,0
2016-09-17,"Archival","A2M",8,0,0
2016-09-17,"Archival","A7M",8,0,0
2016-09-17,"Archival","T2M",8,0,0
2016-09-25,"Archival","A2M",8,0,0
2016-09-25,"Archival","A7M",8,0,0
2016-09-25,"Archival","T2M",8,1,12.5
2016-10-03,"Archival","A2M",8,0,0
2016-10-03,"Archival","A7M",8,0,0
2016-10-03,"Archival","T2M",8,0,0
2016-10-11,"Archival","A2M",8,0,0
2016-10-11,"Archival","A7M",8,0,0
2016-10-11,"Archival","T2M",8,0,0
2016-10-19,"Archival","A2M",8,0,0
2016-10-19,"Archival","A7M",8,1,12.5
2016-10-19,"Archival","T2M",8,1,12.5
2016-10-27,"Archival","A2M",8,0,0
2016-10-27,"Archival","A7M",8,0,0
2016-10-27,"Archival","T2M",8,0,0
2016-11-04,"Archival","A2M",8,0,0
2016-11-04,"Archival","A7M",8,1,12.5
2016-11-04,"Archival","T2M",8,1,12.5
2016-11-12,"Archival","A2M",8,0,0
2016-11-12,"Archival","A7M",8,0,0
2016-11-12,"Archival","T2M",8,0,0
2016-11-20,"Archival","A2M",8,2,25
2016-11-20,"Archival","A7M",8,1,12.5
2016-11-20,"Archival","T2M",8,0,0
2016-11-28,"Archival","A2M",7,4,57.1428571428571
2016-11-28,"Archival","A7M",8,1,12.5
2016-11-28,"Archival","T2M",8,0,0
2016-12-06,"Archival","A2M",8,0,0
2016-12-06,"Archival","A7M",8,0,0
2016-12-06,"Archival","T2M",8,0,0
2016-12-14,"Archival","A2M",8,3,37.5
2016-12-14,"Archival","A7M",8,2,25
2016-12-14,"Archival","T2M",8,0,0
2016-12-22,"Archival","A2M",8,4,50
2016-12-22,"Archival","A7M",8,5,62.5
2016-12-22,"Archival","T2M",7,0,0
2016-12-30,"Archival","A2M",8,6,75
2016-12-30,"Archival","A7M",8,8,100
2017-01-07,"Archival","A2M",8,2,25
2017-01-07,"Archival","A7M",8,3,37.5
2017-01-07,"Archival","T2M",7,4,57.1428571428571
2017-01-15,"Archival","A2M",8,3,37.5
2017-01-15,"Archival","A7M",8,1,12.5
2017-01-15,"Archival","T2M",8,4,50
2017-01-23,"Archival","A2M",8,1,12.5
2017-01-23,"Archival","A7M",8,2,25
2017-01-23,"Archival","T2M",8,1,12.5
2017-01-31,"Archival","A2M",8,0,0
2017-01-31,"Archival","A7M",8,1,12.5
2017-01-31,"Archival","T2M",8,2,25
2017-02-08,"Archival","A2M",8,0,0
2017-02-08,"Archival","A7M",8,0,0
2017-02-08,"Archival","T2M",8,0,0
2017-02-16,"Archival","A2M",8,0,0
2017-02-16,"Archival","A7M",8,0,0
2017-02-16,"Archival","T2M",8,0,0
2017-02-24,"Archival","A2M",8,0,0
2017-02-24,"Archival","A7M",8,1,12.5
2017-02-24,"Archival","T2M",8,1,12.5
2017-03-04,"Archival","A2M",8,1,12.5
2017-03-04,"Archival","A7M",8,0,0
2017-03-04,"Archival","T2M",8,1,12.5
2017-03-12,"Archival","A2M",8,1,12.5
2017-03-12,"Archival","A7M",8,2,25
2017-03-12,"Archival","T2M",8,1,12.5
2017-03-20,"Archival","A2M",8,1,12.5
2017-03-20,"Archival","A7M",8,3,37.5
2017-03-20,"Archival","T2M",8,2,25
2017-03-28,"Archival","A2M",8,1,12.5
2017-03-28,"Archival","A7M",8,0,0
2017-03-28,"Archival","T2M",8,0,0
2017-04-05,"Archival","A2M",8,0,0
2017-04-05,"Archival","A7M",8,1,12.5
2017-04-05,"Archival","T2M",8,0,0
2017-04-13,"Archival","A2M",8,0,0
2017-04-13,"Archival","A7M",8,0,0
2017-04-13,"Archival","T2M",8,0,0
2017-04-21,"Archival","A2M",8,0,0
2017-04-21,"Archival","A7M",8,0,0
2017-04-21,"Archival","T2M",8,0,0
2017-04-29,"Archival","A2M",8,0,0
2017-04-29,"Archival","A7M",8,0,0
2017-04-29,"Archival","T2M",8,0,0
2017-05-07,"Archival","A2M",8,0,0
2017-05-07,"Archival","A7M",8,0,0
2017-05-07,"Archival","T2M",8,0,0
2017-05-15,"Archival","A2M",8,0,0
2017-05-15,"Archival","A7M",8,0,0
2017-05-15,"Archival","T2M",8,0,0
2017-05-23,"Archival","A2M",8,0,0
2017-05-23,"Archival","A7M",8,0,0
2017-05-23,"Archival","T2M",8,0,0
2017-05-31,"Archival","A2M",8,0,0
2017-05-31,"Archival","A7M",8,1,12.5
2017-05-31,"Archival","T2M",8,1,12.5
2017-06-08,"Archival","A2M",11,0,0
2017-06-08,"Archival","A7M",11,0,0
2017-06-08,"Archival","T2M",10,0,0
2017-06-16,"Archival","A2M",8,1,12.5
2017-06-16,"Archival","A7M",8,2,25
2017-06-16,"Archival","T2M",8,1,12.5
2017-06-24,"Archival","A2M",8,0,0
2017-06-24,"Archival","A7M",8,0,0
2017-06-24,"Archival","T2M",8,0,0
2017-07-02,"Archival","A2M",8,0,0
2017-07-02,"Archival","A7M",8,0,0
2017-07-02,"Archival","T2M",8,0,0
2017-07-10,"Archival","A2M",8,0,0
2017-07-10,"Archival","A7M",8,0,0
2017-07-10,"Archival","T2M",8,0,0
2017-07-18,"Archival","A2M",8,0,0
2017-07-18,"Archival","A7M",8,0,0
2017-07-18,"Archival","T2M",8,0,0
2017-07-26,"Archival","A2M",8,0,0
2017-07-26,"Archival","A7M",8,0,0
2017-07-26,"Archival","T2M",8,0,0
2017-08-03,"Archival","A2M",8,0,0
2017-08-03,"Archival","A7M",8,0,0
2017-08-03,"Archival","T2M",8,0,0
2017-08-11,"Archival","A2M",8,0,0
2017-08-11,"Archival","A7M",8,0,0
2017-08-11,"Archival","T2M",8,0,0
2017-08-19,"Archival","A2M",8,0,0
2017-08-19,"Archival","A7M",8,0,0
2017-08-19,"Archival","T2M",8,0,0
2017-08-27,"Archival","A2M",8,0,0
2017-08-27,"Archival","A7M",8,0,0
