"biweek_start","site","device_type","days_monitored","days_present","percent_occurrence"
2014-11-03,"A2M","Archival",14,1,7.14285714285714
2014-11-03,"A7M","Archival",14,0,0
2014-11-03,"T2M","Archival",14,0,0
2014-11-17,"A2M","Archival",14,3,21.4285714285714
2014-11-17,"A7M","Archival",14,5,35.7142857142857
2014-11-17,"T2M","Archival",14,3,21.4285714285714
2014-12-01,"A2M","Archival",14,8,57.1428571428571
2014-12-01,"A7M","Archival",14,8,57.1428571428571
2014-12-01,"T2M","Archival",14,3,21.4285714285714
2014-12-15,"A2M","Archival",14,5,35.7142857142857
2014-12-15,"A7M","Archival",14,7,50
2014-12-15,"T2M","Archival",14,6,42.8571428571429
2014-12-29,"A2M","Archival",14,2,14.2857142857143
2014-12-29,"A7M","Archival",14,6,42.8571428571429
2014-12-29,"T2M","Archival",14,3,21.4285714285714
2015-01-12,"A2M","Archival",14,8,57.1428571428571
2015-01-12,"A7M","Archival",14,13,92.8571428571429
2015-01-12,"T2M","Archival",14,12,85.7142857142857
2015-01-26,"A2M","Archival",14,7,50
2015-01-26,"A7M","Archival",14,6,42.8571428571429
2015-01-26,"T2M","Archival",14,6,42.8571428571429
2015-02-09,"A2M","Archival",14,4,28.5714285714286
2015-02-09,"A7M","Archival",14,7,50
2015-02-09,"T2M","Archival",14,6,42.8571428571429
2015-02-23,"A2M","Archival",14,5,35.7142857142857
2015-02-23,"A7M","Archival",14,6,42.8571428571429
2015-02-23,"T2M","Archival",14,5,35.7142857142857
2015-03-09,"A2M","Archival",14,5,35.7142857142857
2015-03-09,"A7M","Archival",14,6,42.8571428571429
2015-03-09,"T2M","Archival",14,8,57.1428571428571
2015-03-23,"A2M","Archival",14,1,7.14285714285714
2015-03-23,"A7M","Archival",14,0,0
2015-03-23,"T2M","Archival",14,1,7.14285714285714
2015-04-06,"A2M","Archival",14,0,0
2015-04-06,"A7M","Archival",14,0,0
2015-04-06,"T2M","Archival",14,0,0
2015-04-20,"A2M","Archival",14,0,0
2015-04-20,"A7M","Archival",14,1,7.14285714285714
2015-04-20,"T2M","Archival",14,3,21.4285714285714
2015-05-04,"A2M","Archival",14,0,0
2015-05-04,"A7M","Archival",14,0,0
2015-05-04,"T2M","Archival",14,0,0
2015-05-18,"A2M","Archival",14,0,0
2015-05-18,"A7M","Archival",14,1,7.14285714285714
2015-05-18,"T2M","Archival",14,1,7.14285714285714
2015-06-01,"A2M","Archival",14,0,0
2015-06-01,"A7M","Archival",14,0,0
2015-06-01,"T2M","Archival",14,0,0
2015-06-15,"A2M","Archival",14,2,14.2857142857143
