"year","month","site","device_type","days_monitored","days_present","percent_occurrence"
2014,"Nov","A2M","Archival",28,4,14.2857142857143
2014,"Nov","A7M","Archival",28,5,17.8571428571429
2014,"Nov","T2M","Archival",28,3,10.7142857142857
2014,"Dec","A2M","Archival",31,15,48.3870967741936
2014,"Dec","A7M","Archival",31,17,54.8387096774194
2014,"Dec","T2M","Archival",31,9,29.0322580645161
2015,"Jan","A2M","Archival",31,10,32.258064516129
2015,"Jan","A7M","Archival",31,19,61.2903225806452
2015,"Jan","T2M","Archival",31,18,58.0645161290323
2015,"Feb","A2M","Archival",28,10,35.7142857142857
2015,"Feb","A7M","Archival",28,13,46.4285714285714
2015,"Feb","T2M","Archival",28,11,39.2857142857143
2015,"Mar","A2M","Archival",31,10,32.258064516129
2015,"Mar","A7M","Archival",31,10,32.258064516129
2015,"Mar","T2M","Archival",31,12,38.7096774193548
2015,"Apr","A2M","Archival",30,0,0
2015,"Apr","A7M","Archival",30,1,3.33333333333333
2015,"Apr","T2M","Archival",30,3,10
2015,"May","A2M","Archival",31,0,0
2015,"May","A7M","Archival",31,1,3.2258064516129
2015,"May","T2M","Archival",31,1,3.2258064516129
2015,"Jun","A2M","Archival",30,2,6.66666666666667
2015,"Jun","A7M","Archival",30,2,6.66666666666667
2015,"Jun","T2M","Archival",30,2,6.66666666666667
2015,"Jul","A2M","Archival",31,1,3.2258064516129
2015,"Jul","A7M","Archival",31,1,3.2258064516129
2015,"Jul","T2M","Archival",31,1,3.2258064516129
2015,"Aug","A2M","Archival",23,0,0
2015,"Aug","A7M","Archival",31,0,0
2015,"Aug","T2M","Archival",31,1,3.2258064516129
2015,"Sep","A2M","Archival",12,0,0
2015,"Sep","A7M","Archival",30,0,0
2015,"Sep","T2M","Archival",30,0,0
2015,"Oct","A2M","Archival",31,1,3.2258064516129
2015,"Oct","A7M","Archival",31,0,0
2015,"Oct","T2M","Archival",31,0,0
2015,"Nov","A2M","Archival",30,6,20
2015,"Nov","A7M","Archival",30,6,20
2015,"Nov","T2M","Archival",30,2,6.66666666666667
2015,"Dec","A2M","Archival",31,15,48.3870967741936
2015,"Dec","A7M","Archival",31,9,29.0322580645161
2015,"Dec","T2M","Archival",31,7,22.5806451612903
2016,"Jan","A2M","Archival",31,16,51.6129032258064
2016,"Jan","A7M","Archival",31,17,54.8387096774194
2016,"Jan","T2M","Archival",31,16,51.6129032258064
2016,"Feb","A2M","Archival",28,17,60.7142857142857
2016,"Feb","A7M","Archival",28,18,64.2857142857143
2016,"Feb","T2M","Archival",28,14,50
2016,"Mar","A2M","Archival",31,20,64.5161290322581
2016,"Mar","A7M","Archival",31,24,77.4193548387097
2016,"Mar","T2M","Archival",31,24,77.4193548387097
2016,"Apr","A2M","Archival",30,1,3.33333333333333
2016,"Apr","A7M","Archival",30,1,3.33333333333333
2016,"Apr","T2M","Archival",30,3,10
2016,"May","A2M","Archival",31,0,0
2016,"May","A7M","Archival",31,0,0
2016,"May","T2M","Archival",31,0,0
2016,"Jun","A2M","Archival",30,0,0
2016,"Jun","A7M","Archival",30,0,0
2016,"Jun","T2M","Archival",30,0,0
2016,"Jul","A2M","Archival",24,0,0
2016,"Jul","A7M","Archival",24,0,0
2016,"Jul","T2M","Archival",24,0,0
2016,"Aug","A2M","Archival",31,0,0
2016,"Aug","A7M","Archival",31,0,0
2016,"Aug","T2M","Archival",31,0,0
2016,"Sep","A2M","Archival",30,0,0
2016,"Sep","A7M","Archival",30,0,0
2016,"Sep","T2M","Archival",30,1,3.33333333333333
2016,"Oct","A2M","Archival",31,0,0
2016,"Oct","A7M","Archival",31,1,3.2258064516129
2016,"Oct","T2M","Archival",31,1,3.2258064516129
2016,"Nov","A2M","Archival",30,3,10
2016,"Nov","A7M","Archival",30,3,10
2016,"Nov","T2M","Archival",30,1,3.33333333333333
2016,"Dec","A2M","Archival",30,10,33.3333333333333
2016,"Dec","A7M","Archival",31,9,29.0322580645161
2016,"Dec","T2M","Archival",28,0,0
2017,"Jan","A2M","Archival",31,12,38.7096774193548
2017,"Jan","A7M","Archival",31,13,41.9354838709677
2017,"Jan","T2M","Archival",24,10,41.6666666666667
2017,"Feb","A2M","Archival",28,0,0
2017,"Feb","A7M","Archival",28,0,0
2017,"Feb","T2M","Archival",28,1,3.57142857142857
2017,"Mar","A2M","Archival",31,4,12.9032258064516
2017,"Mar","A7M","Archival",31,6,19.3548387096774
2017,"Mar","T2M","Archival",31,5,16.1290322580645
2017,"Apr","A2M","Archival",30,0,0
2017,"Apr","A7M","Archival",30,1,3.33333333333333
2017,"Apr","T2M","Archival",30,0,0
2017,"May","A2M","Archival",31,0,0
2017,"May","A7M","Archival",31,0,0
2017,"May","T2M","Archival",31,0,0
2017,"Jun","A2M","Archival",33,1,3.03030303030303
2017,"Jun","A7M","Archival",33,3,9.09090909090909
2017,"Jun","T2M","Archival",32,2,6.25
2017,"Jul","A2M","Archival",31,0,0
2017,"Jul","A7M","Archival",31,0,0
2017,"Jul","T2M","Archival",31,0,0
2017,"Aug","A2M","Archival",31,0,0
2017,"Aug","A7M","Archival",31,0,0
2017,"Aug","T2M","Archival",31,0,0
2017,"Sep","A2M","Archival",30,0,0
2017,"Sep","A7M","Archival",30,0,0
2017,"Sep","T2M","Archival",30,0,0
2017,"Oct","A2M","Archival",31,0,0
2017,"Oct","A7M","Archival",31,0,0
