"week_start","site","device_type","days_monitored","days_present","percent_occurrence"
2014-11-03,"A2M","Archival",7,0,0
2014-11-03,"A7M","Archival",7,0,0
2014-11-03,"T2M","Archival",7,0,0
2014-11-10,"A2M","Archival",7,1,14.2857142857143
2014-11-10,"A7M","Archival",7,0,0
2014-11-10,"T2M","Archival",7,0,0
2014-11-17,"A2M","Archival",7,1,14.2857142857143
2014-11-17,"A7M","Archival",7,1,14.2857142857143
2014-11-17,"T2M","Archival",7,0,0
2014-11-24,"A2M","Archival",7,2,28.5714285714286
2014-11-24,"A7M","Archival",7,4,57.1428571428571
2014-11-24,"T2M","Archival",7,3,42.8571428571429
2014-12-01,"A2M","Archival",7,4,57.1428571428571
2014-12-01,"A7M","Archival",7,2,28.5714285714286
2014-12-01,"T2M","Archival",7,1,14.2857142857143
2014-12-08,"A2M","Archival",7,4,57.1428571428571
2014-12-08,"A7M","Archival",7,6,85.7142857142857
2014-12-08,"T2M","Archival",7,2,28.5714285714286
2014-12-15,"A2M","Archival",7,0,0
2014-12-15,"A7M","Archival",7,1,14.2857142857143
2014-12-15,"T2M","Archival",7,2,28.5714285714286
2014-12-22,"A2M","Archival",7,5,71.4285714285714
2014-12-22,"A7M","Archival",7,6,85.7142857142857
2014-12-22,"T2M","Archival",7,4,57.1428571428571
2014-12-29,"A2M","Archival",7,2,28.5714285714286
2014-12-29,"A7M","Archival",7,2,28.5714285714286
2014-12-29,"T2M","Archival",7,0,0
2015-01-05,"A2M","Archival",7,0,0
2015-01-05,"A7M","Archival",7,4,57.1428571428571
2015-01-05,"T2M","Archival",7,3,42.8571428571429
2015-01-12,"A2M","Archival",7,3,42.8571428571429
2015-01-12,"A7M","Archival",7,6,85.7142857142857
2015-01-12,"T2M","Archival",7,6,85.7142857142857
2015-01-19,"A2M","Archival",7,5,71.4285714285714
2015-01-19,"A7M","Archival",7,7,100
2015-01-19,"T2M","Archival",7,6,85.7142857142857
2015-01-26,"A2M","Archival",7,2,28.5714285714286
2015-01-26,"A7M","Archival",7,2,28.5714285714286
2015-01-26,"T2M","Archival",7,4,57.1428571428571
2015-02-02,"A2M","Archival",7,5,71.4285714285714
2015-02-02,"A7M","Archival",7,4,57.1428571428571
2015-02-02,"T2M","Archival",7,2,28.5714285714286
2015-02-09,"A2M","Archival",7,0,0
2015-02-09,"A7M","Archival",7,3,42.8571428571429
2015-02-09,"T2M","Archival",7,1,14.2857142857143
2015-02-16,"A2M","Archival",7,4,57.1428571428571
2015-02-16,"A7M","Archival",7,4,57.1428571428571
2015-02-16,"T2M","Archival",7,5,71.4285714285714
2015-02-23,"A2M","Archival",7,1,14.2857142857143
2015-02-23,"A7M","Archival",7,2,28.5714285714286
2015-02-23,"T2M","Archival",7,2,28.5714285714286
2015-03-02,"A2M","Archival",7,4,57.1428571428571
2015-03-02,"A7M","Archival",7,4,57.1428571428571
2015-03-02,"T2M","Archival",7,3,42.8571428571429
2015-03-09,"A2M","Archival",7,4,57.1428571428571
2015-03-09,"A7M","Archival",7,2,28.5714285714286
2015-03-09,"T2M","Archival",7,3,42.8571428571429
2015-03-16,"A2M","Archival",7,1,14.2857142857143
2015-03-16,"A7M","Archival",7,4,57.1428571428571
2015-03-16,"T2M","Archival",7,5,71.4285714285714
2015-03-23,"A2M","Archival",7,1,14.2857142857143
2015-03-23,"A7M","Archival",7,0,0
2015-03-23,"T2M","Archival",7,1,14.2857142857143
2015-03-30,"A2M","Archival",7,0,0
2015-03-30,"A7M","Archival",7,0,0
2015-03-30,"T2M","Archival",7,0,0
2015-04-06,"A2M","Archival",7,0,0
2015-04-06,"A7M","Archival",7,0,0
2015-04-06,"T2M","Archival",7,0,0
2015-04-13,"A2M","Archival",7,0,0
2015-04-13,"A7M","Archival",7,0,0
2015-04-13,"T2M","Archival",7,0,0
2015-04-20,"A2M","Archival",7,0,0
2015-04-20,"A7M","Archival",7,0,0
2015-04-20,"T2M","Archival",7,0,0
2015-04-27,"A2M","Archival",7,0,0
2015-04-27,"A7M","Archival",7,1,14.2857142857143
2015-04-27,"T2M","Archival",7,3,42.8571428571429
2015-05-04,"A2M","Archival",7,0,0
2015-05-04,"A7M","Archival",7,0,0
2015-05-04,"T2M","Archival",7,0,0
2015-05-11,"A2M","Archival",7,0,0
2015-05-11,"A7M","Archival",7,0,0
2015-05-11,"T2M","Archival",7,0,0
2015-05-18,"A2M","Archival",7,0,0
2015-05-18,"A7M","Archival",7,1,14.2857142857143
2015-05-18,"T2M","Archival",7,1,14.2857142857143
2015-05-25,"A2M","Archival",7,0,0
2015-05-25,"A7M","Archival",7,0,0
2015-05-25,"T2M","Archival",7,0,0
2015-06-01,"A2M","Archival",7,0,0
2015-06-01,"A7M","Archival",7,0,0
2015-06-01,"T2M","Archival",7,0,0
2015-06-08,"A2M","Archival",7,0,0
2015-06-08,"A7M","Archival",7,0,0
2015-06-08,"T2M","Archival",7,0,0
2015-06-15,"A2M","Archival",7,0,0
2015-06-15,"A7M","Archival",7,0,0
2015-06-15,"T2M","Archival",7,0,0
2015-06-22,"A2M","Archival",7,2,28.5714285714286
2015-06-22,"A7M","Archival",7,2,28.5714285714286
2015-06-22,"T2M","Archival",7,2,28.5714285714286
2015-06-29,"A2M","Archival",7,0,0
2015-06-29,"A7M","Archival",7,0,0
2015-06-29,"T2M","Archival",7,0,0
2015-07-06,"A2M","Archival",7,0,0
2015-07-06,"A7M","Archival",7,0,0
2015-07-06,"T2M","Archival",7,0,0
2015-07-13,"A2M","Archival",7,0,0
2015-07-13,"A7M","Archival",7,0,0
2015-07-13,"T2M","Archival",7,0,0
2015-07-20,"A2M","Archival",7,0,0
2015-07-20,"A7M","Archival",7,1,14.2857142857143
2015-07-20,"T2M","Archival",7,1,14.2857142857143
2015-07-27,"A2M","Archival",7,1,14.2857142857143
2015-07-27,"A7M","Archival",7,0,0
