"time","bottom_temp","sst","sss","zeta","dist_shore_km","dist_OC_km","dist_200m_km","dist_MO_km","dist_RTWB_km","dist_NB_km","depth_m"
2014-11-03,16.917932510376,16.8761596679688,33.0309257507324,-0.106515564024448,36,37.6,67.9,10.4,0.7,17.8,32
2014-11-04,16.8450336456299,16.8428134918213,33.1115455627441,-0.323222368955612,36,37.6,67.9,10.4,0.7,17.8,32
2014-11-05,16.9868717193604,16.8190517425537,33.1287841796875,-0.202420115470886,36,37.6,67.9,10.4,0.7,17.8,32
2014-11-06,16.7490291595459,16.6203784942627,33.032527923584,-0.0773738771677017,36,37.6,67.9,10.4,0.7,17.8,32
2014-11-07,16.8690013885498,16.2654228210449,32.856517791748,-0.118493922054768,36,37.6,67.9,10.4,0.7,17.8,32
2014-11-08,16.5824489593506,16.3187961578369,33.1154174804688,-0.217558667063713,36,37.6,67.9,10.4,0.7,17.8,32
2014-11-09,16.368049621582,16.0076065063477,32.9805488586426,-0.178218171000481,36,37.6,67.9,10.4,0.7,17.8,32
2014-11-10,16.5021877288818,15.9557800292969,32.9370155334473,-0.153305694460869,36,37.6,67.9,10.4,0.7,17.8,32
2014-11-11,16.1674938201904,16.0616626739502,33.0182266235352,-0.0455388836562634,36,37.6,67.9,10.4,0.7,17.8,32
2014-11-12,15.6625375747681,15.732310295105,32.9568519592285,-0.00423530861735344,36,37.6,67.9,10.4,0.7,17.8,32
2014-11-13,15.6887254714966,15.4754266738892,32.9711761474609,-0.0315947271883488,36,37.6,67.9,10.4,0.7,17.8,32
2014-11-14,15.2893600463867,15.2471876144409,33.0184555053711,-0.0541298575699329,36,37.6,67.9,10.4,0.7,17.8,32
2014-11-15,14.7441053390503,14.6574850082397,33.2330436706543,-0.200323224067688,36,37.6,67.9,10.4,0.7,17.8,32
2014-11-16,14.549111366272,14.5112113952637,33.2623596191406,-0.197949454188347,36,37.6,67.9,10.4,0.7,17.8,32
2014-11-17,14.5686149597168,14.5365438461304,33.2821311950684,-0.0321671180427074,36,37.6,67.9,10.4,0.7,17.8,32
2014-11-18,14.8617973327637,14.7611780166626,33.4019012451172,-0.216925978660583,36,37.6,67.9,10.4,0.7,17.8,32
2014-11-19,14.4458341598511,14.3760261535645,33.4471664428711,-0.419453471899033,36,37.6,67.9,10.4,0.7,17.8,32
2014-11-20,14.1096792221069,13.666600227356,33.0863265991211,-0.284706205129623,36,37.6,67.9,10.4,0.7,17.8,32
2014-11-21,14.7016916275024,13.5844192504883,33.0828552246094,-0.352243691682816,36,37.6,67.9,10.4,0.7,17.8,32
2014-11-22,14.2977066040039,13.5561294555664,33.2906646728516,-0.28057011961937,36,37.6,67.9,10.4,0.7,17.8,32
2014-11-23,14.2190828323364,13.6357984542847,33.3274993896484,-0.301130205392838,36,37.6,67.9,10.4,0.7,17.8,32
2014-11-24,14.8294248580933,13.6210556030273,33.3925666809082,-0.0821202322840691,36,37.6,67.9,10.4,0.7,17.8,32
2014-11-25,15.0177984237671,13.1234006881714,33.1299133300781,-0.0774012207984924,36,37.6,67.9,10.4,0.7,17.8,32
2014-11-26,14.8647613525391,13.3272542953491,33.3056449890137,0.0319317914545536,36,37.6,67.9,10.4,0.7,17.8,32
2014-11-27,14.1600952148438,14.0915756225586,33.4002532958984,0.0722328200936317,36,37.6,67.9,10.4,0.7,17.8,32
2014-11-28,13.9861640930176,13.9299545288086,33.4097480773926,-0.127851322293282,36,37.6,67.9,10.4,0.7,17.8,32
2014-11-29,13.8349990844727,13.7930688858032,33.4563331604004,-0.124542020261288,36,37.6,67.9,10.4,0.7,17.8,32
2014-11-30,13.8351707458496,13.7320327758789,33.4661178588867,-0.594989717006683,36,37.6,67.9,10.4,0.7,17.8,32
2014-12-01,13.1036157608032,11.8274698257446,33.0530204772949,-0.135761797428131,36,37.6,67.9,10.4,0.7,17.8,32
2014-12-02,13.2141790390015,12.0044851303101,33.1778717041016,-0.10059767216444,36,37.6,67.9,10.4,0.7,17.8,32
2014-12-03,13.0795583724976,12.5618562698364,33.2488822937012,0.0104109281674027,36,37.6,67.9,10.4,0.7,17.8,32
2014-12-04,13.1291646957397,12.4303064346313,33.2141609191895,-0.187047258019447,36,37.6,67.9,10.4,0.7,17.8,32
2014-12-05,13.1778383255005,12.6092939376831,33.3341102600098,-0.136962994933128,36,37.6,67.9,10.4,0.7,17.8,32
2014-12-06,11.9769830703735,12.3683700561523,33.3574676513672,0.034607894718647,36,37.6,67.9,10.4,0.7,17.8,32
2014-12-07,12.0071859359741,12.0515336990356,33.3802032470703,0.055606123059988,36,37.6,67.9,10.4,0.7,17.8,32
2014-12-08,11.6493425369263,11.6366662979126,33.5377044677734,0.230833366513252,36,37.6,67.9,10.4,0.7,17.8,32
2014-12-09,11.5135526657104,11.5252771377563,33.2813529968262,0.428585857152939,36,37.6,67.9,10.4,0.7,17.8,32
2014-12-10,11.0131645202637,10.9784822463989,32.855712890625,0.118388235569,36,37.6,67.9,10.4,0.7,17.8,32
2014-12-11,10.7829580307007,10.739182472229,32.8340530395508,-0.122381567955017,36,37.6,67.9,10.4,0.7,17.8,32
2014-12-12,10.2718915939331,10.178071975708,32.8171348571777,-0.190896794199944,36,37.6,67.9,10.4,0.7,17.8,32
2014-12-13,10.3459587097168,10.2210874557495,32.8956489562988,-0.131947129964828,36,37.6,67.9,10.4,0.7,17.8,32
2014-12-14,10.1661233901978,10.0909585952759,32.8865776062012,-0.107149332761765,36,37.6,67.9,10.4,0.7,17.8,32
2014-12-15,9.61574363708496,9.56825542449951,32.9010047912598,-0.170485377311707,36,37.6,67.9,10.4,0.7,17.8,32
2014-12-16,9.60468196868896,9.48525810241699,32.885856628418,-0.0857220888137817,36,37.6,67.9,10.4,0.7,17.8,32
