"time","bottom_temp","sst","sss","zeta","dist_shore_km","dist_OC_km","dist_200m_km","dist_MO_km","dist_RTWB_km","dist_NB_km","depth_m"
2014-11-03,17.0780582427979,17.0193538665771,33.2593879699707,-0.100222229957581,48.7,50.2,55.9,22.4,12.2,23.9,34
2014-11-04,17.0939846038818,17.0075435638428,33.2997398376465,-0.288654118776321,48.7,50.2,55.9,22.4,12.2,23.9,34
2014-11-05,17.1412353515625,17.1270198822021,33.3586082458496,-0.194993913173676,48.7,50.2,55.9,22.4,12.2,23.9,34
2014-11-06,16.8161315917969,16.9807415008545,33.3673248291016,-0.0770872235298157,48.7,50.2,55.9,22.4,12.2,23.9,34
2014-11-07,16.9591407775879,16.8671646118164,33.351375579834,-0.10805020481348,48.7,50.2,55.9,22.4,12.2,23.9,34
2014-11-08,17.1956233978271,16.6131839752197,33.4061241149902,-0.209279134869576,48.7,50.2,55.9,22.4,12.2,23.9,34
2014-11-09,17.5057811737061,16.6318416595459,33.3138847351074,-0.172949373722076,48.7,50.2,55.9,22.4,12.2,23.9,34
2014-11-10,17.7222499847412,16.5864276885986,33.1907234191895,-0.155673786997795,48.7,50.2,55.9,22.4,12.2,23.9,34
2014-11-11,17.5056552886963,16.5650997161865,33.2312965393066,-0.0546442456543446,48.7,50.2,55.9,22.4,12.2,23.9,34
2014-11-12,17.0419940948486,16.22971534729,33.2195014953613,-0.00232732412405312,48.7,50.2,55.9,22.4,12.2,23.9,34
2014-11-13,16.9585342407227,15.9211683273315,33.2772750854492,-0.0405094400048256,48.7,50.2,55.9,22.4,12.2,23.9,34
2014-11-14,16.4029483795166,15.6882934570312,33.3437538146973,-0.061664592474699,48.7,50.2,55.9,22.4,12.2,23.9,34
2014-11-15,15.2360076904297,15.1869993209839,33.6348609924316,-0.219380035996437,48.7,50.2,55.9,22.4,12.2,23.9,34
2014-11-16,15.0407342910767,15.0075607299805,33.6552581787109,-0.201660767197609,48.7,50.2,55.9,22.4,12.2,23.9,34
2014-11-17,15.0063104629517,14.9959306716919,33.6439666748047,-0.0350137390196323,48.7,50.2,55.9,22.4,12.2,23.9,34
2014-11-18,15.3611249923706,15.2445478439331,33.7630729675293,-0.203520551323891,48.7,50.2,55.9,22.4,12.2,23.9,34
2014-11-19,15.1579093933105,14.9749183654785,33.8359680175781,-0.379864901304245,48.7,50.2,55.9,22.4,12.2,23.9,34
2014-11-20,15.8470506668091,14.3400812149048,33.3818321228027,-0.244468614459038,48.7,50.2,55.9,22.4,12.2,23.9,34
2014-11-21,15.9361848831177,14.431715965271,33.4615478515625,-0.344174295663834,48.7,50.2,55.9,22.4,12.2,23.9,34
2014-11-22,15.8983449935913,14.1106271743774,33.5423545837402,-0.282764077186584,48.7,50.2,55.9,22.4,12.2,23.9,34
2014-11-23,15.6238327026367,14.203558921814,33.6471366882324,-0.265395551919937,48.7,50.2,55.9,22.4,12.2,23.9,34
2014-11-24,15.0748605728149,14.0093612670898,33.6166534423828,-0.08428605645895,48.7,50.2,55.9,22.4,12.2,23.9,34
2014-11-25,15.0045785903931,14.0400896072388,33.582820892334,-0.0771662667393684,48.7,50.2,55.9,22.4,12.2,23.9,34
2014-11-26,14.960732460022,14.0642356872559,33.6467704772949,0.0174226015806198,48.7,50.2,55.9,22.4,12.2,23.9,34
2014-11-27,15.3098411560059,14.9543838500977,33.8262710571289,0.0386149324476719,48.7,50.2,55.9,22.4,12.2,23.9,34
2014-11-28,14.9569311141968,14.8830528259277,33.8715209960938,-0.120932839810848,48.7,50.2,55.9,22.4,12.2,23.9,34
2014-11-29,14.6698637008667,14.638108253479,33.8776588439941,-0.130277141928673,48.7,50.2,55.9,22.4,12.2,23.9,34
