site,time,mean_chla
A2,10/28/14,2.172723454
A2,11/5/14,2.470059955
A2,11/13/14,1.952855998
A2,11/21/14,3.714647233
A2,11/29/14,2.462706196
A2,12/7/14,NA
A2,12/15/14,2.496237874
A2,12/23/14,2.248710364
A2,12/31/14,NA
A2,1/5/15,2.913380361
A2,1/13/15,2.494426632
A2,1/21/15,1.665291342
A2,1/29/15,5.151384187
A2,2/6/15,5.281160533
A2,2/14/15,4.993756247
A2,2/22/15,2.896997857
A2,3/2/15,NA
A2,3/10/15,3.073046291
A2,3/18/15,2.648019505
A2,3/26/15,5.102125525
A2,4/3/15,12.03049936
A2,4/11/15,4.138188505
A2,4/19/15,8.837542415
A2,4/27/15,9.803477705
A2,5/5/15,7.833707047
A2,5/13/15,5.326023161
A2,5/21/15,2.572332728
A2,5/29/15,2.696171248
A2,6/6/15,1.786062495
A2,6/14/15,1.421212161
A2,6/22/15,1.162140101
A2,6/30/15,1.973734859
A2,7/8/15,1.580709988
A2,7/16/15,1.000651779
A2,7/24/15,0.707634342
A2,8/1/15,0.864047918
A2,8/9/15,2.274654198
A2,8/17/15,4.372729707
A2,8/25/15,5.844214296
A2,9/2/15,2.922796813
A2,9/10/15,9.08079958
A2,9/18/15,7.995956457
A2,9/26/15,3.665774028
A2,10/4/15,2.46033603
A2,10/12/15,3.348332727
A2,10/20/15,3.940939897
A2,10/28/15,2.088899034
A2,11/5/15,2.180057931
A2,11/13/15,2.317981052
A2,11/21/15,3.071940857
A2,11/29/15,1.957173717
A2,12/7/15,1.587339514
A2,12/15/15,1.908376288
A2,12/23/15,1.52042537
A2,12/31/15,NA
A2,1/5/16,3.358412683
A2,1/13/16,3.580181468
A2,1/21/16,3.24021509
A2,1/29/16,4.64441117
A2,2/6/16,3.71856792
A2,2/14/16,3.458559275
A2,2/22/16,2.511831349
A2,3/1/16,2.591217351
A2,3/9/16,2.61668849
A2,3/17/16,2.306084394
A2,3/25/16,3.293960035
A2,4/2/16,3.057765472
A2,4/10/16,3.985095048
A2,4/18/16,2.842867839
A2,4/26/16,1.860519636
A2,5/4/16,1.133358905
