date,bottom_temp,sst,sss,stratification,zeta,dist_shore_km,dist_OC_km,dist_200m_km,dist_MO_km,dist_RTWB_km,dist_NB_km,depth_m,datetime,daily_occurrence,site,device_type
11/3/14,16.91793251,16.87615967,33.03092575,-0.00119,-0.106515564,36,37.6,67.9,10.4,0.7,17.8,35,11/3/14,0,A7M,Archival
11/4/14,16.84503365,16.84281349,33.11154556,-0.00006,-0.323222369,36,37.6,67.9,10.4,0.7,17.8,35,11/4/14,0,A7M,Archival
11/5/14,16.98687172,16.81905174,33.12878418,-0.00479,-0.202420115,36,37.6,67.9,10.4,0.7,17.8,35,11/5/14,0,A7M,Archival
11/6/14,16.74902916,16.62037849,33.03252792,-0.00368,-0.077373877,36,37.6,67.9,10.4,0.7,17.8,35,11/6/14,0,A7M,Archival
11/7/14,16.86900139,16.26542282,32.85651779,-0.01725,-0.118493922,36,37.6,67.9,10.4,0.7,17.8,35,11/7/14,0,A7M,Archival
11/8/14,16.58244896,16.31879616,33.11541748,-0.00753,-0.217558667,36,37.6,67.9,10.4,0.7,17.8,35,11/8/14,0,A7M,Archival
11/9/14,16.36804962,16.00760651,32.98054886,-0.0103,-0.178218171,36,37.6,67.9,10.4,0.7,17.8,35,11/9/14,0,A7M,Archival
11/10/14,16.50218773,15.95578003,32.93701553,-0.01561,-0.153305694,36,37.6,67.9,10.4,0.7,17.8,35,11/10/14,0,A7M,Archival
11/11/14,16.16749382,16.06166267,33.01822662,-0.00302,-0.045538884,36,37.6,67.9,10.4,0.7,17.8,35,11/11/14,0,A7M,Archival
11/12/14,15.66253757,15.7323103,32.95685196,0.00199,-0.004235309,36,37.6,67.9,10.4,0.7,17.8,35,11/12/14,0,A7M,Archival
11/13/14,15.68872547,15.47542667,32.97117615,-0.00609,-0.031594727,36,37.6,67.9,10.4,0.7,17.8,35,11/13/14,0,A7M,Archival
11/14/14,15.28936005,15.24718761,33.01845551,-0.0012,-0.054129858,36,37.6,67.9,10.4,0.7,17.8,35,11/14/14,0,A7M,Archival
11/15/14,14.74410534,14.65748501,33.23304367,-0.00247,-0.200323224,36,37.6,67.9,10.4,0.7,17.8,35,11/15/14,0,A7M,Archival
11/16/14,14.54911137,14.5112114,33.26235962,-0.00108,-0.197949454,36,37.6,67.9,10.4,0.7,17.8,35,11/16/14,0,A7M,Archival
11/17/14,14.56861496,14.53654385,33.2821312,-0.00092,-0.032167118,36,37.6,67.9,10.4,0.7,17.8,35,11/17/14,0,A7M,Archival
11/18/14,14.86179733,14.76117802,33.40190125,-0.00287,-0.216925979,36,37.6,67.9,10.4,0.7,17.8,35,11/18/14,0,A7M,Archival
11/19/14,14.44583416,14.37602615,33.44716644,-0.00199,-0.419453472,36,37.6,67.9,10.4,0.7,17.8,35,11/19/14,0,A7M,Archival
11/20/14,14.10967922,13.66660023,33.0863266,-0.01266,-0.284706205,36,37.6,67.9,10.4,0.7,17.8,35,11/20/14,0,A7M,Archival
11/21/14,14.70169163,13.58441925,33.08285522,-0.03192,-0.352243692,36,37.6,67.9,10.4,0.7,17.8,35,11/21/14,0,A7M,Archival
11/22/14,14.2977066,13.55612946,33.29066467,-0.02119,-0.28057012,36,37.6,67.9,10.4,0.7,17.8,35,11/22/14,0,A7M,Archival
11/23/14,14.21908283,13.63579845,33.32749939,-0.01667,-0.301130205,36,37.6,67.9,10.4,0.7,17.8,35,11/23/14,1,A7M,Archival
11/24/14,14.82942486,13.6210556,33.39256668,-0.03452,-0.082120232,36,37.6,67.9,10.4,0.7,17.8,35,11/24/14,1,A7M,Archival
11/25/14,15.01779842,13.12340069,33.12991333,-0.05413,-0.077401221,36,37.6,67.9,10.4,0.7,17.8,35,11/25/14,1,A7M,Archival
11/26/14,14.86476135,13.3272543,33.30564499,-0.04393,0.031931791,36,37.6,67.9,10.4,0.7,17.8,35,11/26/14,1,A7M,Archival
11/27/14,14.16009521,14.09157562,33.4002533,-0.00196,0.07223282,36,37.6,67.9,10.4,0.7,17.8,35,11/27/14,1,A7M,Archival
11/28/14,13.98616409,13.92995453,33.40974808,-0.00161,-0.127851322,36,37.6,67.9,10.4,0.7,17.8,35,11/28/14,0,A7M,Archival
11/29/14,13.83499908,13.79306889,33.45633316,-0.0012,-0.12454202,36,37.6,67.9,10.4,0.7,17.8,35,11/29/14,0,A7M,Archival
11/30/14,13.83517075,13.73203278,33.46611786,-0.00295,-0.594989717,36,37.6,67.9,10.4,0.7,17.8,35,11/30/14,0,A7M,Archival
12/1/14,13.10361576,11.82746983,33.05302048,-0.03646,-0.135761797,36,37.6,67.9,10.4,0.7,17.8,35,12/1/14,0,A7M,Archival
12/2/14,13.21417904,12.00448513,33.1778717,-0.03456,-0.100597672,36,37.6,67.9,10.4,0.7,17.8,35,12/2/14,0,A7M,Archival
12/3/14,13.07955837,12.56185627,33.24888229,-0.01479,0.010410928,36,37.6,67.9,10.4,0.7,17.8,35,12/3/14,0,A7M,Archival
12/4/14,13.1291647,12.43030643,33.21416092,-0.01997,-0.187047258,36,37.6,67.9,10.4,0.7,17.8,35,12/4/14,0,A7M,Archival
12/5/14,13.17783833,12.60929394,33.33411026,-0.01624,-0.136962995,36,37.6,67.9,10.4,0.7,17.8,35,12/5/14,0,A7M,Archival
12/6/14,11.97698307,12.36837006,33.35746765,0.01118,0.034607895,36,37.6,67.9,10.4,0.7,17.8,35,12/6/14,1,A7M,Archival
12/7/14,12.00718594,12.0515337,33.38020325,0.00127,0.055606123,36,37.6,67.9,10.4,0.7,17.8,35,12/7/14,1,A7M,Archival
12/8/14,11.64934254,11.6366663,33.53770447,-0.00036,0.230833367,36,37.6,67.9,10.4,0.7,17.8,35,12/8/14,1,A7M,Archival
12/9/14,11.51355267,11.52527714,33.281353,0.00033,0.428585857,36,37.6,67.9,10.4,0.7,17.8,35,12/9/14,1,A7M,Archival
12/10/14,11.01316452,10.97848225,32.85571289,-0.00099,0.118388236,36,37.6,67.9,10.4,0.7,17.8,35,12/10/14,1,A7M,Archival
12/11/14,10.78295803,10.73918247,32.83405304,-0.00125,-0.122381568,36,37.6,67.9,10.4,0.7,17.8,35,12/11/14,0,A7M,Archival
12/12/14,10.27189159,10.17807198,32.81713486,-0.00268,-0.190896794,36,37.6,67.9,10.4,0.7,17.8,35,12/12/14,1,A7M,Archival
12/13/14,10.34595871,10.22108746,32.89564896,-0.00357,-0.13194713,36,37.6,67.9,10.4,0.7,17.8,35,12/13/14,1,A7M,Archival
12/14/14,10.16612339,10.0909586,32.88657761,-0.00215,-0.107149333,36,37.6,67.9,10.4,0.7,17.8,35,12/14/14,1,A7M,Archival
12/15/14,9.615743637,9.568255424,32.90100479,-0.00136,-0.170485377,36,37.6,67.9,10.4,0.7,17.8,35,12/15/14,1,A7M,Archival
12/16/14,9.604681969,9.485258102,32.88585663,-0.00341,-0.085722089,36,37.6,67.9,10.4,0.7,17.8,35,12/16/14,0,A7M,Archival
12/17/14,9.796830177,9.499289513,32.85129547,-0.0085,-0.061865207,36,37.6,67.9,10.4,0.7,17.8,35,12/17/14,0,A7M,Archival
12/18/14,9.71325779,9.965144157,32.7282486,0.0072,-0.20878078,36,37.6,67.9,10.4,0.7,17.8,35,12/18/14,0,A7M,Archival
12/19/14,10.12931347,9.808473587,32.84658813,-0.00917,-0.257997632,36,37.6,67.9,10.4,0.7,17.8,35,12/19/14,0,A7M,Archival
12/20/14,10.28385639,9.536610603,32.85634995,-0.02135,-0.2569547,36,37.6,67.9,10.4,0.7,17.8,35,12/20/14,0,A7M,Archival
12/21/14,10.5189352,8.806860924,32.63524246,-0.04892,-0.228527591,36,37.6,67.9,10.4,0.7,17.8,35,12/21/14,0,A7M,Archival
12/22/14,10.36634827,8.686743736,32.5789299,-0.04799,-0.198763013,36,37.6,67.9,10.4,0.7,17.8,35,12/22/14,1,A7M,Archival
12/23/14,10.17658329,9.062795639,32.62615585,-0.03182,-0.072578534,36,37.6,67.9,10.4,0.7,17.8,35,12/23/14,1,A7M,Archival
12/24/14,9.116113663,9.070006371,32.50001907,-0.00132,-0.055248108,36,37.6,67.9,10.4,0.7,17.8,35,12/24/14,1,A7M,Archival
12/25/14,9.047572136,8.752526283,32.07622147,-0.00843,-0.155682877,36,37.6,67.9,10.4,0.7,17.8,35,12/25/14,1,A7M,Archival
12/26/14,9.182656288,8.831293106,32.36135864,-0.01004,-0.374282926,36,37.6,67.9,10.4,0.7,17.8,35,12/26/14,1,A7M,Archival
12/27/14,9.274740219,8.654402733,32.31644821,-0.01772,-0.309214324,36,37.6,67.9,10.4,0.7,17.8,35,12/27/14,1,A7M,Archival
12/28/14,9.369715691,8.529222488,32.1451683,-0.02401,-0.211207435,36,37.6,67.9,10.4,0.7,17.8,35,12/28/14,0,A7M,Archival
12/29/14,9.443616867,8.581377983,31.99360657,-0.02464,-0.209002316,36,37.6,67.9,10.4,0.7,17.8,35,12/29/14,1,A7M,Archival
12/30/14,9.913012505,9.163590431,32.4838562,-0.02141,-0.186195478,36,37.6,67.9,10.4,0.7,17.8,35,12/30/14,1,A7M,Archival
12/31/14,9.793796539,9.290097237,32.65409851,-0.01439,-0.615656316,36,37.6,67.9,10.4,0.7,17.8,35,12/31/14,0,A7M,Archival
1/1/15,9.954031944,9.064038277,32.7908287,-0.02543,-0.27047208,36,37.6,67.9,10.4,0.7,17.8,35,1/1/15,0,A7M,Archival
1/2/15,9.826498985,8.162489891,32.34206772,-0.04754,-0.428609014,36,37.6,67.9,10.4,0.7,17.8,35,1/2/15,0,A7M,Archival
1/3/15,9.819680214,8.157338142,32.50659943,-0.0475,-0.36207816,36,37.6,67.9,10.4,0.7,17.8,35,1/3/15,0,A7M,Archival
1/4/15,9.938768387,8.251378059,32.45006943,-0.04821,-0.179215863,36,37.6,67.9,10.4,0.7,17.8,35,1/4/15,0,A7M,Archival
1/5/15,10.31052876,8.276772499,32.171978,-0.05811,-0.415038317,36,37.6,67.9,10.4,0.7,17.8,35,1/5/15,1,A7M,Archival
1/6/15,10.37697124,8.394267082,32.34252548,-0.05665,-0.442544848,36,37.6,67.9,10.4,0.7,17.8,35,1/6/15,0,A7M,Archival
1/7/15,10.80375385,8.264882088,32.32745361,-0.07254,-0.383599132,36,37.6,67.9,10.4,0.7,17.8,35,1/7/15,0,A7M,Archival
1/8/15,10.39766693,7.896013737,32.75941849,-0.07148,-0.476157635,36,37.6,67.9,10.4,0.7,17.8,35,1/8/15,1,A7M,Archival
1/9/15,9.904031754,7.960147381,32.911129,-0.05554,-0.434547186,36,37.6,67.9,10.4,0.7,17.8,35,1/9/15,1,A7M,Archival
1/10/15,9.846423149,8.125971794,33.03164673,-0.04916,-0.555584729,36,37.6,67.9,10.4,0.7,17.8,35,1/10/15,0,A7M,Archival
1/11/15,8.477211952,7.099174023,33.18498993,-0.03937,-0.493655205,36,37.6,67.9,10.4,0.7,17.8,35,1/11/15,1,A7M,Archival
1/12/15,8.475419044,7.195850849,33.22451401,-0.03656,-0.339160889,36,37.6,67.9,10.4,0.7,17.8,35,1/12/15,1,A7M,Archival
1/13/15,8.18550396,7.21431303,33.20456314,-0.02775,-0.333844513,36,37.6,67.9,10.4,0.7,17.8,35,1/13/15,0,A7M,Archival
1/14/15,7.415980816,7.393568039,33.17301941,-0.00064,-0.119301856,36,37.6,67.9,10.4,0.7,17.8,35,1/14/15,1,A7M,Archival
1/15/15,7.260536671,7.192914486,33.04066086,-0.00193,-0.147195905,36,37.6,67.9,10.4,0.7,17.8,35,1/15/15,1,A7M,Archival
1/16/15,7.718461514,7.084600925,33.01697922,-0.01811,-0.304251939,36,37.6,67.9,10.4,0.7,17.8,35,1/16/15,1,A7M,Archival
1/17/15,7.766405106,7.087385178,33.10799789,-0.0194,-0.405323863,36,37.6,67.9,10.4,0.7,17.8,35,1/17/15,1,A7M,Archival
1/18/15,7.819134235,7.145185471,33.16725159,-0.01926,-0.244047508,36,37.6,67.9,10.4,0.7,17.8,35,1/18/15,1,A7M,Archival
1/19/15,7.901025772,6.71665144,32.83871078,-0.03384,-0.282783002,36,37.6,67.9,10.4,0.7,17.8,35,1/19/15,1,A7M,Archival
1/20/15,7.859876633,6.584674835,32.95621109,-0.03643,-0.345567912,36,37.6,67.9,10.4,0.7,17.8,35,1/20/15,1,A7M,Archival
1/21/15,8.059561729,6.867619038,33.14761353,-0.03406,-0.331064284,36,37.6,67.9,10.4,0.7,17.8,35,1/21/15,1,A7M,Archival
