Date,Year,Month,bottom_temp,sst,sss,stratificaton,zeta,dist_shore_km,dist_OC_km,dist_200m_km,dist_MO_km,dist_RTWB_km,dist_NB_km,depth_m,DailyOccurrence,Site,DeviceType,Period
11/3/14,2014,11,17.07805824,17.01935387,33.25938797,-0.001630677,-0.10022223,48.7,50.2,55.9,22.4,12.2,23.9,36,0,T2M,Archival,1
11/3/14,2014,11,16.91793251,16.87615967,33.03092575,-0.00119,-0.106515564,36,37.6,67.9,10.4,0.7,17.8,35,0,A7M,Archival,1
11/3/14,2014,11,16.4925499,16.43383789,32.90654755,-0.002446334,-0.110582888,21.4,23.1,83.3,5.3,16.3,13.5,24,0,A2M,Archival,1
11/4/14,2014,11,17.0939846,17.00754356,33.29973984,-0.00240114,-0.288654119,48.7,50.2,55.9,22.4,12.2,23.9,36,0,T2M,Archival,1
11/4/14,2014,11,16.84503365,16.84281349,33.11154556,-0.00006,-0.323222369,36,37.6,67.9,10.4,0.7,17.8,35,0,A7M,Archival,1
11/4/14,2014,11,16.02432823,15.92700291,32.55921555,-0.004055222,-0.356263012,21.4,23.1,83.3,5.3,16.3,13.5,24,0,A2M,Archival,1
11/5/14,2014,11,17.14123535,17.12701988,33.35860825,-0.000394874,-0.194993913,48.7,50.2,55.9,22.4,12.2,23.9,36,0,T2M,Archival,1
11/5/14,2014,11,16.98687172,16.81905174,33.12878418,-0.00479,-0.202420115,36,37.6,67.9,10.4,0.7,17.8,35,0,A7M,Archival,1
11/5/14,2014,11,16.32988548,15.80409908,32.3469429,-0.021907767,-0.205422685,21.4,23.1,83.3,5.3,16.3,13.5,24,0,A2M,Archival,1
11/6/14,2014,11,16.81613159,16.9807415,33.36732483,0.004572497,-0.077087224,48.7,50.2,55.9,22.4,12.2,23.9,36,0,T2M,Archival,1
11/6/14,2014,11,16.74902916,16.62037849,33.03252792,-0.00368,-0.077373877,36,37.6,67.9,10.4,0.7,17.8,35,0,A7M,Archival,1
11/6/14,2014,11,16.34029961,15.7760725,32.29893112,-0.023509463,-0.076590754,21.4,23.1,83.3,5.3,16.3,13.5,24,0,A2M,Archival,1
11/7/14,2014,11,16.95914078,16.86716461,33.35137558,-0.002554893,-0.108050205,48.7,50.2,55.9,22.4,12.2,23.9,36,0,T2M,Archival,1
11/7/14,2014,11,16.86900139,16.26542282,32.85651779,-0.01725,-0.118493922,36,37.6,67.9,10.4,0.7,17.8,35,0,A7M,Archival,1
11/7/14,2014,11,16.45645714,15.6833868,32.33805466,-0.032211264,-0.129388049,21.4,23.1,83.3,5.3,16.3,13.5,24,0,A2M,Archival,1
11/8/14,2014,11,17.1956234,16.61318398,33.40612411,-0.016178873,-0.209279135,48.7,50.2,55.9,22.4,12.2,23.9,36,0,T2M,Archival,1
11/8/14,2014,11,16.58244896,16.31879616,33.11541748,-0.00753,-0.217558667,36,37.6,67.9,10.4,0.7,17.8,35,0,A7M,Archival,1
11/8/14,2014,11,15.63700485,15.52437592,32.58738327,-0.004692872,-0.225771546,21.4,23.1,83.3,5.3,16.3,13.5,24,0,A2M,Archival,1
11/9/14,2014,11,17.50578117,16.63184166,33.31388474,-0.024276098,-0.172949374,48.7,50.2,55.9,22.4,12.2,23.9,36,0,T2M,Archival,1
