date,bottom_temp,sst,sss,stratification,zeta,dist_shore_km,dist_OC_km,dist_200m_km,dist_MO_km,dist_RTWB_km,dist_NB_km,depth_m,datetime,daily_occurrence,site,device_type
5/27/21,12.92559528,17.99800873,31.9664135,0.133484564,-0.269695431,36,37.6,67.9,10.4,0,17.8,38,5/27/21,0,RTWB,Real Time
5/28/21,13.00480747,18.17038155,31.98113823,0.13593616,-0.177015305,36,37.6,67.9,10.4,0,17.8,38,5/28/21,0,RTWB,Real Time
5/29/21,12.93173695,17.48742485,32.01252747,0.119886524,0.050266117,36,37.6,67.9,10.4,0,17.8,38,5/29/21,0,RTWB,Real Time
5/30/21,13.78628159,15.44224262,32.64245224,0.043577922,0.101064116,36,37.6,67.9,10.4,0,17.8,38,5/30/21,0,RTWB,Real Time
5/31/21,14.58940411,14.83979893,32.75992966,0.006589337,-0.078092806,36,37.6,67.9,10.4,0,17.8,38,5/31/21,0,RTWB,Real Time
6/1/21,14.33111095,15.36287022,32.67717361,0.02715156,-0.20282273,36,37.6,67.9,10.4,0,17.8,38,6/1/21,0,RTWB,Real Time
6/2/21,13.04539204,15.89156628,32.54683304,0.074899322,-0.207661942,36,37.6,67.9,10.4,0,17.8,38,6/2/21,0,RTWB,Real Time
6/3/21,12.74103069,16.37382698,32.43986511,0.095599902,-0.102985471,36,37.6,67.9,10.4,0,17.8,38,6/3/21,0,RTWB,Real Time
6/4/21,12.34704971,16.50539017,32.13033295,0.109430012,-0.076539263,36,37.6,67.9,10.4,0,17.8,38,6/4/21,0,RTWB,Real Time
6/5/21,11.88533783,17.69506836,32.00210953,0.152887646,-0.155802697,36,37.6,67.9,10.4,0,17.8,38,6/5/21,0,RTWB,Real Time
6/6/21,11.51037693,18.12591362,31.91555786,0.174093071,-0.190719068,36,37.6,67.9,10.4,0,17.8,38,6/6/21,0,RTWB,Real Time
6/7/21,11.33214283,18.56523705,31.85063744,0.190344585,-0.159898221,36,37.6,67.9,10.4,0,17.8,38,6/7/21,0,RTWB,Real Time
6/8/21,12.11682224,19.66307449,31.78576088,0.198585586,-0.129891306,36,37.6,67.9,10.4,0,17.8,38,6/8/21,0,RTWB,Real Time
6/9/21,12.21623516,20.15956688,31.81062508,0.209035045,-0.127391919,36,37.6,67.9,10.4,0,17.8,38,6/9/21,0,RTWB,Real Time
6/10/21,12.27996731,20.68725204,31.85327339,0.221244335,-0.111393489,36,37.6,67.9,10.4,0,17.8,38,6/10/21,0,RTWB,Real Time
6/11/21,12.61657619,19.61778831,31.99899483,0.184242424,0.057250302,36,37.6,67.9,10.4,0,17.8,38,6/11/21,0,RTWB,Real Time
6/12/21,12.99367905,19.12092972,32.05209732,0.161243439,0.076096624,36,37.6,67.9,10.4,0,17.8,38,6/12/21,0,RTWB,Real Time
6/13/21,13.30765152,19.2013607,32.07643509,0.15509761,0.005481807,36,37.6,67.9,10.4,0,17.8,38,6/13/21,0,RTWB,Real Time
6/14/21,13.1313715,20.54668999,31.85594368,0.19513996,-0.016571851,36,37.6,67.9,10.4,0,17.8,38,6/14/21,0,RTWB,Real Time
6/15/21,12.80440807,20.96757698,31.85244751,0.214820234,0.053058583,36,37.6,67.9,10.4,0,17.8,38,6/15/21,0,RTWB,Real Time
6/16/21,12.77555466,21.41880226,31.84806824,0.227453884,0.014744493,36,37.6,67.9,10.4,0,17.8,38,6/16/21,0,RTWB,Real Time
6/17/21,13.18298054,21.18927765,31.89240074,0.210692029,-0.047364879,36,37.6,67.9,10.4,0,17.8,38,6/17/21,0,RTWB,Real Time
6/18/21,13.27228069,21.36206627,31.85218048,0.212889094,-0.114261456,36,37.6,67.9,10.4,0,17.8,38,6/18/21,1,RTWB,Real Time
6/19/21,13.18814182,21.4597683,31.70678711,0.217674381,-0.113022037,36,37.6,67.9,10.4,0,17.8,38,6/19/21,0,RTWB,Real Time
6/20/21,13.83351803,22.11096382,31.94472694,0.217827521,-0.13689433,36,37.6,67.9,10.4,0,17.8,38,6/20/21,0,RTWB,Real Time
6/21/21,13.79318905,22.46325874,32.03155518,0.228159729,-0.097493492,36,37.6,67.9,10.4,0,17.8,38,6/21/21,0,RTWB,Real Time
6/22/21,13.74802303,22.83463287,32.02462387,0.239121312,-0.055754874,36,37.6,67.9,10.4,0,17.8,38,6/22/21,0,RTWB,Real Time
6/23/21,14.27321625,21.727005,31.9458828,0.196152336,-0.161065742,36,37.6,67.9,10.4,0,17.8,38,6/23/21,0,RTWB,Real Time
6/24/21,14.60661411,21.32128716,31.97791862,0.176701922,-0.175354764,36,37.6,67.9,10.4,0,17.8,38,6/24/21,0,RTWB,Real Time
6/25/21,14.84082127,21.14776802,32.05218124,0.165972283,-0.126545325,36,37.6,67.9,10.4,0,17.8,38,6/25/21,0,RTWB,Real Time
6/26/21,15.12332439,22.09750366,32.16528702,0.183531033,-0.206516027,36,37.6,67.9,10.4,0,17.8,38,6/26/21,0,RTWB,Real Time
6/27/21,14.852211,22.3210907,32.11873245,0.196549466,-0.246843293,36,37.6,67.9,10.4,0,17.8,38,6/27/21,0,RTWB,Real Time
6/28/21,14.46884441,22.62386322,32.08119965,0.214605758,-0.269863755,36,37.6,67.9,10.4,0,17.8,38,6/28/21,0,RTWB,Real Time
6/29/21,14.25799847,23.77722359,32.26190186,0.250505924,-0.278913856,36,37.6,67.9,10.4,0,17.8,38,6/29/21,0,RTWB,Real Time
6/30/21,13.89136124,24.08168221,32.2307663,0.268166341,-0.226968527,36,37.6,67.9,10.4,0,17.8,38,6/30/21,0,RTWB,Real Time
7/1/21,13.44394779,24.55496979,32.26828384,0.292395316,-0.147374928,36,37.6,67.9,10.4,0,17.8,38,7/1/21,0,RTWB,Real Time
7/2/21,13.3252058,23.95469856,32.21590042,0.279723494,-0.044400778,36,37.6,67.9,10.4,0,17.8,38,7/2/21,0,RTWB,Real Time
7/3/21,13.54004669,23.58751488,32.21329117,0.264407058,-0.006499218,36,37.6,67.9,10.4,0,17.8,38,7/3/21,0,RTWB,Real Time
7/4/21,14.58913517,23.78836632,32.15063095,0.24208503,-0.007788954,36,37.6,67.9,10.4,0,17.8,38,7/4/21,0,RTWB,Real Time
7/5/21,15.04345036,23.73715782,32.08237076,0.228781775,-0.078072257,36,37.6,67.9,10.4,0,17.8,38,7/5/21,0,RTWB,Real Time
7/6/21,14.71037674,23.90175819,32.06688309,0.241878459,-0.098616749,36,37.6,67.9,10.4,0,17.8,38,7/6/21,0,RTWB,Real Time
7/7/21,13.88330364,24.06390572,31.55760956,0.267910581,-0.164768964,36,37.6,67.9,10.4,0,17.8,38,7/7/21,0,RTWB,Real Time
7/8/21,14.30480671,23.42426872,31.99825478,0.239985842,-0.163845584,36,37.6,67.9,10.4,0,17.8,38,7/8/21,0,RTWB,Real Time
7/9/21,13.8033905,22.60092926,32.61208344,0.231514178,-0.064917229,36,37.6,67.9,10.4,0,17.8,38,7/9/21,0,RTWB,Real Time
7/10/21,13.86355972,22.56468391,32.92568588,0.228976952,-0.113411002,36,37.6,67.9,10.4,0,17.8,38,7/10/21,0,RTWB,Real Time
7/11/21,15.45875645,23.25595284,32.85275269,0.205189379,-0.081374995,36,37.6,67.9,10.4,0,17.8,38,7/11/21,0,RTWB,Real Time
7/12/21,15.85418606,23.0858326,32.87242508,0.190306488,-0.119023025,36,37.6,67.9,10.4,0,17.8,38,7/12/21,0,RTWB,Real Time
7/13/21,15.59482861,23.10175514,32.84612274,0.197550698,-0.108540297,36,37.6,67.9,10.4,0,17.8,38,7/13/21,0,RTWB,Real Time
7/14/21,15.73936367,23.65051842,32.69727325,0.208188283,-0.06807927,36,37.6,67.9,10.4,0,17.8,38,7/14/21,0,RTWB,Real Time
7/15/21,15.80015469,24.07411766,32.44829178,0.217735868,-0.076912366,36,37.6,67.9,10.4,0,17.8,38,7/15/21,0,RTWB,Real Time
7/16/21,15.59195328,24.48676872,32.44235229,0.234074091,-0.07441809,36,37.6,67.9,10.4,0,17.8,38,7/16/21,0,RTWB,Real Time
7/17/21,15.44625473,25.25391579,32.6064415,0.258096344,-0.119154491,36,37.6,67.9,10.4,0,17.8,38,7/17/21,0,RTWB,Real Time
7/18/21,15.07711315,24.86772728,32.68071365,0.25764774,-0.127397001,36,37.6,67.9,10.4,0,17.8,38,7/18/21,0,RTWB,Real Time
7/19/21,14.84376907,24.69267845,32.742836,0.259181826,-0.123546369,36,37.6,67.9,10.4,0,17.8,38,7/19/21,0,RTWB,Real Time
7/20/21,14.51938629,23.99892426,32.78243637,0.249461525,-0.063262172,36,37.6,67.9,10.4,0,17.8,38,7/20/21,0,RTWB,Real Time
7/21/21,14.48859406,24.18983269,32.80868912,0.255295753,-0.051736314,36,37.6,67.9,10.4,0,17.8,38,7/21/21,0,RTWB,Real Time
7/22/21,14.5031271,24.14240456,32.73265457,0.253665196,-0.064241551,36,37.6,67.9,10.4,0,17.8,38,7/22/21,0,RTWB,Real Time
7/23/21,15.4967165,24.2920475,32.63040161,0.231456079,-0.076046892,36,37.6,67.9,10.4,0,17.8,38,7/23/21,0,RTWB,Real Time
7/24/21,15.53318787,24.6140213,32.60074234,0.238969301,-0.069856688,36,37.6,67.9,10.4,0,17.8,38,7/24/21,0,RTWB,Real Time
7/25/21,15.50579739,24.26298523,32.22001266,0.230452312,-0.035151638,36,37.6,67.9,10.4,0,17.8,38,7/25/21,0,RTWB,Real Time
7/26/21,14.15134335,23.75556755,31.61282921,0.252742742,-0.061575279,36,37.6,67.9,10.4,0,17.8,38,7/26/21,0,RTWB,Real Time
7/27/21,13.90529346,24.25229645,31.87413025,0.272289552,-0.002921288,36,37.6,67.9,10.4,0,17.8,38,7/27/21,0,RTWB,Real Time
7/28/21,13.84259796,24.50515938,32.05462265,0.280593721,0.00771088,36,37.6,67.9,10.4,0,17.8,38,7/28/21,0,RTWB,Real Time
7/29/21,12.76145077,24.90124512,32.1962738,0.319468272,0.018791104,36,37.6,67.9,10.4,0,17.8,38,7/29/21,0,RTWB,Real Time
7/30/21,12.11477947,24.35669899,32.50684738,0.322155777,0.000107855,36,37.6,67.9,10.4,0,17.8,38,7/30/21,0,RTWB,Real Time
7/31/21,11.94647503,24.49365044,32.52458954,0.330188827,-0.028714387,36,37.6,67.9,10.4,0,17.8,38,7/31/21,0,RTWB,Real Time
8/1/21,11.62469196,23.7298584,32.52749634,0.318557011,-0.054943677,36,37.6,67.9,10.4,0,17.8,38,8/1/21,0,RTWB,Real Time
8/2/21,11.26854038,23.51764679,32.50150299,0.322344905,-0.056402121,36,37.6,67.9,10.4,0,17.8,38,8/2/21,0,RTWB,Real Time
8/3/21,11.29327869,23.88845825,32.46579742,0.331452094,-0.117482483,36,37.6,67.9,10.4,0,17.8,38,8/3/21,0,RTWB,Real Time
8/4/21,11.6077776,23.4201889,32.62519455,0.310852929,-0.111033954,36,37.6,67.9,10.4,0,17.8,38,8/4/21,0,RTWB,Real Time
8/5/21,12.51282978,23.17124748,32.53383255,0.280484676,-0.052688677,36,37.6,67.9,10.4,0,17.8,38,8/5/21,0,RTWB,Real Time
8/6/21,13.05205631,23.45757294,32.48193741,0.273829385,-0.14020817,36,37.6,67.9,10.4,0,17.8,38,8/6/21,0,RTWB,Real Time
8/7/21,13.51998043,23.8596344,32.36799622,0.272096157,-0.08086548,36,37.6,67.9,10.4,0,17.8,38,8/7/21,0,RTWB,Real Time
8/8/21,13.0816412,23.28993225,32.27856827,0.268639238,-0.080882385,36,37.6,67.9,10.4,0,17.8,38,8/8/21,0,RTWB,Real Time
8/9/21,13.48925495,22.84168243,32.09589005,0.246116513,-0.093808353,36,37.6,67.9,10.4,0,17.8,38,8/9/21,0,RTWB,Real Time
8/10/21,13.53192616,24.20201111,32.02086258,0.280791709,-0.080732234,36,37.6,67.9,10.4,0,17.8,38,8/10/21,0,RTWB,Real Time
8/11/21,13.20376301,24.56534576,31.0665226,0.29898902,-0.053803355,36,37.6,67.9,10.4,0,17.8,38,8/11/21,0,RTWB,Real Time
8/12/21,12.75783825,25.04221535,31.02038574,0.323273082,-0.081394084,36,37.6,67.9,10.4,0,17.8,38,8/12/21,0,RTWB,Real Time
8/13/21,14.20184326,25.40598488,31.36372375,0.294845832,-0.049827516,36,37.6,67.9,10.4,0,17.8,38,8/13/21,0,RTWB,Real Time
8/14/21,14.18144321,25.60917091,31.5326252,0.300729676,-0.014833011,36,37.6,67.9,10.4,0,17.8,38,8/14/21,0,RTWB,Real Time
8/15/21,14.09272289,25.76947784,31.55150414,0.307283025,0.004391434,36,37.6,67.9,10.4,0,17.8,38,8/15/21,0,RTWB,Real Time
8/16/21,14.90376759,25.82065582,31.56733704,0.287286533,-0.009608316,36,37.6,67.9,10.4,0,17.8,38,8/16/21,0,RTWB,Real Time
8/17/21,14.83766651,25.76712036,31.5941906,0.287617207,-0.012422092,36,37.6,67.9,10.4,0,17.8,38,8/17/21,0,RTWB,Real Time
8/18/21,14.29603481,26.10484314,31.58203888,0.310758114,0.001148466,36,37.6,67.9,10.4,0,17.8,38,8/18/21,0,RTWB,Real Time
