Date,Site,sst,bottom_temp,sss,stratification,phase,daylight_hours,week_start,site,device_type,days_monitored,days_present,percent_occurrence,period
11/3/14,A2M,15.76422678,16.0801818,32.50984846,-0.013164793,0.469902478,10.39853175,11/3/14,A2M,Archival,7,0,0,1
11/3/14,A7M,16.53574698,16.75976672,33.03660965,-0.0064,0.469902478,10.40313492,11/3/14,A7M,Archival,7,0,0,1
11/3/14,T2M,16.89240701,17.11285073,33.33663505,-0.006123437,0.469902478,10.40313492,11/3/14,T2M,Archival,7,0,0,1
11/10/14,A2M,14.75641591,14.76643072,32.64080102,-0.000417284,0.699847649,10.16619048,11/10/14,A2M,Archival,7,1,14.28571429,1
11/10/14,A7M,15.37729481,15.51478876,33.05673272,-0.003925714,0.699847649,10.17142857,11/10/14,A7M,Archival,7,0,0,1
11/10/14,T2M,15.88360923,16.55830342,33.36466708,-0.018741506,0.699847649,10.17154762,11/10/14,T2M,Archival,7,0,0,1
11/17/14,A2M,12.74277278,12.7957325,32.71872112,-0.002206655,0.772299743,9.958293651,11/17/14,A2M,Archival,7,1,14.28571429,1
11/17/14,A7M,14.01667077,14.45777239,33.27407782,-0.012602857,0.772299743,9.964206349,11/17/14,A7M,Archival,7,1,14.28571429,1
11/17/14,T2M,14.61448288,15.54725115,33.61083984,-0.02591023,0.772299743,9.964206349,11/17/14,T2M,Archival,7,0,0,1
11/24/14,A2M,11.98998833,12.24057961,32.64065225,-0.010441303,0.159670094,9.781309524,11/24/14,A2M,Archival,7,2,28.57142857,1
11/24/14,A7M,13.6597632,14.36120197,33.36579677,-0.020042857,0.159670094,9.787777778,11/24/14,A7M,Archival,7,4,57.14285714,1
11/24/14,T2M,14.44619983,14.93592794,33.7575689,-0.013603559,0.159670094,9.78765873,11/24/14,T2M,Archival,7,3,42.85714286,1
12/1/14,A2M,11.1662253,11.49822044,32.64427676,-0.013833131,0.416487949,9.641388889,12/1/14,A2M,Archival,7,4,57.14285714,1
12/1/14,A7M,12.26475934,12.81264646,33.25224522,-0.015652857,0.416487949,9.648214286,12/1/14,A7M,Archival,7,2,28.57142857,1
12/1/14,T2M,13.58144583,13.60664068,33.9044135,-0.000699857,0.416487949,9.648134921,12/1/14,T2M,Archival,7,1,14.28571429,1
12/8/14,A2M,9.368189813,9.724924632,32.39094761,-0.014863951,0.644979372,9.544325397,12/8/14,A2M,Archival,7,4,57.14285714,1
12/8/14,A7M,10.76710374,10.82042735,33.01545498,-0.001524286,0.644979372,9.551388889,12/8/14,A7M,Archival,7,6,85.71428571,1
12/8/14,T2M,11.60985851,11.74228968,33.31871741,-0.003678646,0.644979372,9.551349206,12/8/14,T2M,Archival,7,2,28.57142857,1
12/15/14,A2M,7.907371998,9.08031886,31.6255406,-0.048872786,0.859661589,9.494484127,12/15/14,A2M,Archival,7,0,0,1
12/15/14,A7M,9.52427033,9.951802662,32.81494086,-0.012215714,0.859661589,9.501746032,12/15/14,A7M,Archival,7,1,14.28571429,1
12/15/14,T2M,10.20250593,10.77443436,33.24914278,-0.015886901,0.859661589,9.501706349,12/15/14,T2M,Archival,7,2,28.57142857,1
12/22/14,A2M,7.810041019,8.531537601,31.41772625,-0.030062358,0.248517796,9.494563492,12/22/14,A2M,Archival,7,5,71.42857143,1
12/22/14,A7M,8.798141479,9.504818508,32.37204306,-0.02019,0.248517796,9.501746032,12/22/14,A7M,Archival,7,6,85.71428571,1
12/22/14,T2M,10.12054362,9.980991499,33.30892454,0.003876448,0.248517796,9.501825397,12/22/14,T2M,Archival,7,4,57.14285714,1
12/29/14,A2M,7.632379327,8.724979265,31.35041101,-0.045524997,0.36243563,9.544484127,12/29/14,A2M,Archival,7,2,28.57142857,1
12/29/14,A7M,8.667187146,9.812772206,32.46016094,-0.032731429,0.36243563,9.551626984,12/29/14,A7M,Archival,7,2,28.57142857,1
12/29/14,T2M,9.780984334,10.46491868,33.32847922,-0.018998176,0.36243563,9.551666667,12/29/14,T2M,Archival,7,0,0,1
1/5/15,A2M,6.819098268,7.498362814,32.35181127,-0.028302689,0.587770527,9.642222222,1/5/15,A2M,Archival,7,0,0,1
1/5/15,A7M,8.002461229,10.01665538,32.67559161,-0.05755,0.587770527,9.649007937,1/5/15,A7M,Archival,7,4,57.14285714,1
1/5/15,T2M,8.750891209,10.99716255,32.94675173,-0.062396426,0.587770527,9.649007937,1/5/15,T2M,Archival,7,3,42.85714286,1
1/12/15,A2M,5.574603285,6.168391841,32.24222238,-0.02474119,0.804895517,9.783253968,1/12/15,A2M,Archival,7,3,42.85714286,1
1/12/15,A7M,7.187688283,7.805920192,33.13356945,-0.017664286,0.804895517,9.789603175,1/12/15,A7M,Archival,7,6,85.71428571,1
1/12/15,T2M,8.419951575,9.071678433,33.69782312,-0.018103524,0.804895517,9.789603175,1/12/15,T2M,Archival,7,6,85.71428571,1
1/19/15,A2M,5.320625987,6.238114902,31.96802139,-0.038228705,0.339131255,9.96202381,1/19/15,A2M,Archival,7,5,71.42857143,1
1/19/15,A7M,6.675319263,7.617771149,33.03330612,-0.026928571,0.339131255,9.96797619,1/19/15,A7M,Archival,7,7,100,1
1/19/15,T2M,7.733525957,8.198150839,33.71108737,-0.012906247,0.339131255,9.967936508,1/19/15,T2M,Archival,7,6,85.71428571,1
1/26/15,A2M,4.143657241,4.594816072,32.20256451,-0.018798285,0.3088619,10.17238095,1/26/15,A2M,Archival,7,2,28.57142857,1
1/26/15,A7M,5.483446394,5.726710524,33.25829642,-0.00695,0.3088619,10.17757937,1/26/15,A7M,Archival,7,2,28.57142857,1
1/26/15,T2M,6.470371519,6.59220968,33.72618811,-0.003384393,0.3088619,10.17761905,1/26/15,T2M,Archival,7,4,57.14285714,1
2/2/15,A2M,3.468306576,4.086892911,32.10569654,-0.025774431,0.530229849,10.40785714,2/2/15,A2M,Archival,7,5,71.42857143,1
2/2/15,A7M,4.879846641,5.037424496,33.17440196,-0.004501429,0.530229849,10.41238095,2/2/15,A7M,Archival,7,4,57.14285714,1
2/2/15,T2M,5.690718174,5.903005055,33.58702033,-0.005896858,0.530229849,10.41238095,2/2/15,T2M,Archival,7,2,28.57142857,1
2/9/15,A2M,2.799479382,3.181547267,32.61333248,-0.015919495,0.750492949,10.66257937,2/9/15,A2M,Archival,7,0,0,1
2/9/15,A7M,3.907685314,4.264348064,33.26826096,-0.01019,0.750492949,10.66638889,2/9/15,A7M,Archival,7,3,42.85714286,1
2/9/15,T2M,5.308114392,5.588357517,33.75819996,-0.007784538,0.750492949,10.66650794,2/9/15,T2M,Archival,7,1,14.28571429,1
2/16/15,A2M,1.316227956,1.642327343,32.53250667,-0.013587475,0.570350801,10.93178571,2/16/15,A2M,Archival,7,4,57.14285714,1
2/16/15,A7M,2.599309683,3.150685617,33.17038563,-0.015751429,0.570350801,10.93480159,2/16/15,A7M,Archival,7,4,57.14285714,1
2/16/15,T2M,3.945930208,4.084534816,33.62548229,-0.003850128,0.570350801,10.93492063,2/16/15,T2M,Archival,7,5,71.42857143,1
2/23/15,A2M,1.63493618,1.956100413,32.36881365,-0.013381843,0.255495687,11.21107143,2/23/15,A2M,Archival,7,1,14.28571429,1
2/23/15,A7M,2.95486348,3.362163782,33.22203337,-0.011637143,0.255495687,11.21349206,2/23/15,A7M,Archival,7,2,28.57142857,1
2/23/15,T2M,4.305020673,4.453736544,33.74167197,-0.004130995,0.255495687,11.2134127,2/23/15,T2M,Archival,7,2,28.57142857,1
3/2/15,A2M,1.920957753,2.612181681,31.79660334,-0.028800997,0.477533515,11.4972619,3/2/15,A2M,Archival,7,4,57.14285714,1
3/2/15,A7M,2.654819284,3.494728667,33.03315462,-0.023997143,0.477533515,11.49880952,3/2/15,A7M,Archival,7,4,57.14285714,1
3/2/15,T2M,4.102148124,4.605397361,33.76533508,-0.013979146,0.477533515,11.49884921,3/2/15,T2M,Archival,7,3,42.85714286,1
3/9/15,A2M,2.926966395,2.789437464,31.33042772,0.005730372,0.697126005,11.78738095,3/9/15,A2M,Archival,7,4,57.14285714,1
3/9/15,A7M,3.753748655,3.89487321,32.43473979,-0.004032857,0.697126005,11.7881746,3/9/15,A7M,Archival,7,2,28.57142857,1
3/9/15,T2M,5.07796812,5.188728264,33.65126147,-0.003076671,0.697126005,11.78809524,3/9/15,T2M,Archival,7,3,42.85714286,1
3/16/15,A2M,3.334722519,2.950026172,31.92989622,0.016029014,0.663077167,12.0793254,3/16/15,A2M,Archival,7,1,14.28571429,1
3/16/15,A7M,4.422990458,4.114089421,32.98419407,0.008825714,0.663077167,12.07940476,3/16/15,A7M,Archival,7,4,57.14285714,1
