time,bottom_temp,sst,sss,stratificaton,zeta,dist_shore_km,dist_OC_km,dist_200m_km,dist_MO_km,dist_RTWB_km,dist_NB_km,depth_m,date,daily_occurrence,site,device_type
11/3/14,17.07805824,17.01935387,33.25938797,-0.001630677,-0.10022223,48.7,50.2,55.9,22.4,12.2,23.9,36,11/3/14,0,T2M,Archival
11/4/14,17.0939846,17.00754356,33.29973984,-0.00240114,-0.288654119,48.7,50.2,55.9,22.4,12.2,23.9,36,11/4/14,0,T2M,Archival
11/5/14,17.14123535,17.12701988,33.35860825,-0.000394874,-0.194993913,48.7,50.2,55.9,22.4,12.2,23.9,36,11/5/14,0,T2M,Archival
11/6/14,16.81613159,16.9807415,33.36732483,0.004572497,-0.077087224,48.7,50.2,55.9,22.4,12.2,23.9,36,11/6/14,0,T2M,Archival
11/7/14,16.95914078,16.86716461,33.35137558,-0.002554893,-0.108050205,48.7,50.2,55.9,22.4,12.2,23.9,36,11/7/14,0,T2M,Archival
11/8/14,17.1956234,16.61318398,33.40612411,-0.016178873,-0.209279135,48.7,50.2,55.9,22.4,12.2,23.9,36,11/8/14,0,T2M,Archival
11/9/14,17.50578117,16.63184166,33.31388474,-0.024276098,-0.172949374,48.7,50.2,55.9,22.4,12.2,23.9,36,11/9/14,0,T2M,Archival
11/10/14,17.72224998,16.58642769,33.19072342,-0.031550619,-0.155673787,48.7,50.2,55.9,22.4,12.2,23.9,36,11/10/14,0,T2M,Archival
11/11/14,17.50565529,16.56509972,33.23129654,-0.026126544,-0.054644246,48.7,50.2,55.9,22.4,12.2,23.9,36,11/11/14,0,T2M,Archival
11/12/14,17.04199409,16.22971535,33.2195015,-0.022563299,-0.002327324,48.7,50.2,55.9,22.4,12.2,23.9,36,11/12/14,0,T2M,Archival
11/13/14,16.95853424,15.92116833,33.27727509,-0.02881572,-0.04050944,48.7,50.2,55.9,22.4,12.2,23.9,36,11/13/14,0,T2M,Archival
11/14/14,16.40294838,15.68829346,33.34375381,-0.019851526,-0.061664592,48.7,50.2,55.9,22.4,12.2,23.9,36,11/14/14,0,T2M,Archival
11/15/14,15.23600769,15.18699932,33.63486099,-0.001361344,-0.219380036,48.7,50.2,55.9,22.4,12.2,23.9,36,11/15/14,0,T2M,Archival
11/16/14,15.04073429,15.00756073,33.65525818,-0.000921488,-0.201660767,48.7,50.2,55.9,22.4,12.2,23.9,36,11/16/14,0,T2M,Archival
11/17/14,15.00631046,14.99593067,33.64396667,-0.000288328,-0.035013739,48.7,50.2,55.9,22.4,12.2,23.9,36,11/17/14,0,T2M,Archival
11/18/14,15.36112499,15.24454784,33.76307297,-0.003238254,-0.203520551,48.7,50.2,55.9,22.4,12.2,23.9,36,11/18/14,0,T2M,Archival
11/19/14,15.15790939,14.97491837,33.83596802,-0.005083084,-0.379864901,48.7,50.2,55.9,22.4,12.2,23.9,36,11/19/14,0,T2M,Archival
11/20/14,15.84705067,14.34008121,33.38183212,-0.041860263,-0.244468614,48.7,50.2,55.9,22.4,12.2,23.9,36,11/20/14,0,T2M,Archival
11/21/14,15.93618488,14.43171597,33.46154785,-0.041790803,-0.344174296,48.7,50.2,55.9,22.4,12.2,23.9,36,11/21/14,0,T2M,Archival
