Date,time,latitude,longitude,sstAnom,site
5/27/21,2021-05-27T09:00:00Z,38.3,-74.64,1.091,RTWB
5/28/21,2021-05-28T09:00:00Z,38.3,-74.64,1.145,RTWB
5/29/21,2021-05-29T09:00:00Z,38.3,-74.64,0.875,RTWB
5/30/21,2021-05-30T09:00:00Z,38.3,-74.64,0.116,RTWB
5/31/21,2021-05-31T09:00:00Z,38.3,-74.64,-2.292,RTWB
6/1/21,2021-06-01T09:00:00Z,38.3,-74.64,-2.365,RTWB
6/2/21,2021-06-02T09:00:00Z,38.3,-74.64,-2,RTWB
6/3/21,2021-06-03T09:00:00Z,38.3,-74.64,-0.199,RTWB
6/4/21,2021-06-04T09:00:00Z,38.3,-74.64,-0.409,RTWB
6/5/21,2021-06-05T09:00:00Z,38.3,-74.64,-0.556,RTWB
6/6/21,2021-06-06T09:00:00Z,38.3,-74.64,0.113,RTWB
6/7/21,2021-06-07T09:00:00Z,38.3,-74.64,0.284,RTWB
6/8/21,2021-06-08T09:00:00Z,38.3,-74.64,1.239,RTWB
6/9/21,2021-06-09T09:00:00Z,38.3,-74.64,1.415,RTWB
6/10/21,2021-06-10T09:00:00Z,38.3,-74.64,0.355,RTWB
6/11/21,2021-06-11T09:00:00Z,38.3,-74.64,-0.313,RTWB
6/12/21,2021-06-12T09:00:00Z,38.3,-74.64,-0.248,RTWB
6/13/21,2021-06-13T09:00:00Z,38.3,-74.64,-0.227,RTWB
6/14/21,2021-06-14T09:00:00Z,38.3,-74.64,-0.006,RTWB
6/15/21,2021-06-15T09:00:00Z,38.3,-74.64,1.895,RTWB
6/16/21,2021-06-16T09:00:00Z,38.3,-74.64,1.717,RTWB
6/17/21,2021-06-17T09:00:00Z,38.3,-74.64,1.258,RTWB
6/18/21,2021-06-18T09:00:00Z,38.3,-74.64,1.087,RTWB
6/19/21,2021-06-19T09:00:00Z,38.3,-74.64,0.739,RTWB
6/20/21,2021-06-20T09:00:00Z,38.3,-74.64,0.723,RTWB
6/21/21,2021-06-21T09:00:00Z,38.3,-74.64,0.969,RTWB
6/22/21,2021-06-22T09:00:00Z,38.3,-74.64,0.291,RTWB
6/23/21,2021-06-23T09:00:00Z,38.3,-74.64,0.023,RTWB
6/24/21,2021-06-24T09:00:00Z,38.3,-74.64,-0.199,RTWB
6/25/21,2021-06-25T09:00:00Z,38.3,-74.64,-0.624,RTWB
6/26/21,2021-06-26T09:00:00Z,38.3,-74.64,-0.992,RTWB
6/27/21,2021-06-27T09:00:00Z,38.3,-74.64,0.591,RTWB
6/28/21,2021-06-28T09:00:00Z,38.3,-74.64,0.557,RTWB
6/29/21,2021-06-29T09:00:00Z,38.3,-74.64,0.357,RTWB
6/30/21,2021-06-30T09:00:00Z,38.3,-74.64,1.096,RTWB
7/1/21,2021-07-01T09:00:00Z,38.3,-74.64,1.591,RTWB
7/2/21,2021-07-02T09:00:00Z,38.3,-74.64,0.846,RTWB
7/3/21,2021-07-03T09:00:00Z,38.3,-74.64,0.045,RTWB
7/4/21,2021-07-04T09:00:00Z,38.3,-74.64,0.285,RTWB
7/5/21,2021-07-05T09:00:00Z,38.3,-74.64,0.608,RTWB
7/6/21,2021-07-06T09:00:00Z,38.3,-74.64,0.591,RTWB
7/7/21,2021-07-07T09:00:00Z,38.3,-74.64,0.529,RTWB
7/8/21,2021-07-08T09:00:00Z,38.3,-74.64,0.03,RTWB
7/9/21,2021-07-09T09:00:00Z,38.3,-74.64,-0.155,RTWB
7/10/21,2021-07-10T09:00:00Z,38.3,-74.64,-0.677,RTWB
7/11/21,2021-07-11T09:00:00Z,38.3,-74.64,-0.365,RTWB
7/12/21,2021-07-12T09:00:00Z,38.3,-74.64,-0.703,RTWB
7/13/21,2021-07-13T09:00:00Z,38.3,-74.64,-0.994,RTWB
7/14/21,2021-07-14T09:00:00Z,38.3,-74.64,-0.21,RTWB
7/15/21,2021-07-15T09:00:00Z,38.3,-74.64,0.104,RTWB
7/16/21,2021-07-16T09:00:00Z,38.3,-74.64,0.375,RTWB
7/17/21,2021-07-17T09:00:00Z,38.3,-74.64,0.446,RTWB
7/18/21,2021-07-18T09:00:00Z,38.3,-74.64,0.286,RTWB
7/19/21,2021-07-19T09:00:00Z,38.3,-74.64,-0.623,RTWB
7/20/21,2021-07-20T09:00:00Z,38.3,-74.64,-0.587,RTWB
7/21/21,2021-07-21T09:00:00Z,38.3,-74.64,-0.804,RTWB
7/22/21,2021-07-22T09:00:00Z,38.3,-74.64,-0.873,RTWB
7/23/21,2021-07-23T09:00:00Z,38.3,-74.64,-0.702,RTWB
7/24/21,2021-07-24T09:00:00Z,38.3,-74.64,-0.911,RTWB
7/25/21,2021-07-25T09:00:00Z,38.3,-74.64,-1.029,RTWB
7/26/21,2021-07-26T09:00:00Z,38.3,-74.64,-1.128,RTWB
7/27/21,2021-07-27T09:00:00Z,38.3,-74.64,-0.64,RTWB
7/28/21,2021-07-28T09:00:00Z,38.3,-74.64,-0.625,RTWB
7/29/21,2021-07-29T09:00:00Z,38.3,-74.64,-0.529,RTWB
7/30/21,2021-07-30T09:00:00Z,38.3,-74.64,-0.515,RTWB
7/31/21,2021-07-31T09:00:00Z,38.3,-74.64,-0.171,RTWB
8/1/21,2021-08-01T09:00:00Z,38.3,-74.64,-1.046,RTWB
8/2/21,2021-08-02T09:00:00Z,38.3,-74.64,-1.506,RTWB
8/3/21,2021-08-03T09:00:00Z,38.3,-74.64,-1.855,RTWB
8/4/21,2021-08-04T09:00:00Z,38.3,-74.64,-1.995,RTWB
8/5/21,2021-08-05T09:00:00Z,38.3,-74.64,-2.048,RTWB
8/6/21,2021-08-06T09:00:00Z,38.3,-74.64,-1.91,RTWB
8/7/21,2021-08-07T09:00:00Z,38.3,-74.64,-1.823,RTWB
8/8/21,2021-08-08T09:00:00Z,38.3,-74.64,-1.822,RTWB
8/9/21,2021-08-09T09:00:00Z,38.3,-74.64,-1.881,RTWB
8/10/21,2021-08-10T09:00:00Z,38.3,-74.64,-1.623,RTWB
8/11/21,2021-08-11T09:00:00Z,38.3,-74.64,-1.529,RTWB
8/12/21,2021-08-12T09:00:00Z,38.3,-74.64,-1.446,RTWB
8/13/21,2021-08-13T09:00:00Z,38.3,-74.64,-0.294,RTWB
8/14/21,2021-08-14T09:00:00Z,38.3,-74.64,-0.112,RTWB
8/15/21,2021-08-15T09:00:00Z,38.3,-74.64,0.245,RTWB
8/16/21,2021-08-16T09:00:00Z,38.3,-74.64,0.484,RTWB
8/17/21,2021-08-17T09:00:00Z,38.3,-74.64,0.925,RTWB
8/18/21,2021-08-18T09:00:00Z,38.3,-74.64,0.995,RTWB
8/19/21,2021-08-19T09:00:00Z,38.3,-74.64,0.912,RTWB
8/20/21,2021-08-20T09:00:00Z,38.3,-74.64,0.625,RTWB
8/21/21,2021-08-21T09:00:00Z,38.3,-74.64,0.594,RTWB
8/22/21,2021-08-22T09:00:00Z,38.3,-74.64,0.608,RTWB
8/23/21,2021-08-23T09:00:00Z,38.3,-74.64,0.632,RTWB
8/24/21,2021-08-24T09:00:00Z,38.3,-74.64,1.298,RTWB
8/25/21,2021-08-25T09:00:00Z,38.3,-74.64,1.68,RTWB
8/26/21,2021-08-26T09:00:00Z,38.3,-74.64,2.246,RTWB
8/27/21,2021-08-27T09:00:00Z,38.3,-74.64,2.764,RTWB
8/28/21,2021-08-28T09:00:00Z,38.3,-74.64,2.784,RTWB
8/29/21,2021-08-29T09:00:00Z,38.3,-74.64,2.414,RTWB
8/30/21,2021-08-30T09:00:00Z,38.3,-74.64,2.052,RTWB
8/31/21,2021-08-31T09:00:00Z,38.3,-74.64,2.579,RTWB
9/1/21,2021-09-01T09:00:00Z,38.3,-74.64,2.969,RTWB
9/2/21,2021-09-02T09:00:00Z,38.3,-74.64,-0.735,RTWB
9/3/21,2021-09-03T09:00:00Z,38.3,-74.64,-0.654,RTWB
9/4/21,2021-09-04T09:00:00Z,38.3,-74.64,-0.818,RTWB
9/5/21,2021-09-05T09:00:00Z,38.3,-74.64,-1.152,RTWB
9/6/21,2021-09-06T09:00:00Z,38.3,-74.64,-0.606,RTWB
9/7/21,2021-09-07T09:00:00Z,38.3,-74.64,0.054,RTWB
9/8/21,2021-09-08T09:00:00Z,38.3,-74.64,-0.071,RTWB
9/9/21,2021-09-09T09:00:00Z,38.3,-74.64,0.199,RTWB
9/10/21,2021-09-10T09:00:00Z,38.3,-74.64,-0.137,RTWB
9/11/21,2021-09-11T09:00:00Z,38.3,-74.64,-0.264,RTWB
9/12/21,2021-09-12T09:00:00Z,38.3,-74.64,-0.222,RTWB
9/13/21,2021-09-13T09:00:00Z,38.3,-74.64,-0.124,RTWB
9/14/21,2021-09-14T09:00:00Z,38.3,-74.64,0.264,RTWB
9/15/21,2021-09-15T09:00:00Z,38.3,-74.64,0.527,RTWB
9/16/21,2021-09-16T09:00:00Z,38.3,-74.64,0.88,RTWB
9/17/21,2021-09-17T09:00:00Z,38.3,-74.64,1.388,RTWB
9/18/21,2021-09-18T09:00:00Z,38.3,-74.64,1.821,RTWB
9/19/21,2021-09-19T09:00:00Z,38.3,-74.64,2.22,RTWB
9/20/21,2021-09-20T09:00:00Z,38.3,-74.64,2.485,RTWB
9/21/21,2021-09-21T09:00:00Z,38.3,-74.64,2.359,RTWB
9/22/21,2021-09-22T09:00:00Z,38.3,-74.64,1.975,RTWB
9/23/21,2021-09-23T09:00:00Z,38.3,-74.64,1.057,RTWB
9/24/21,2021-09-24T09:00:00Z,38.3,-74.64,1.106,RTWB
9/25/21,2021-09-25T09:00:00Z,38.3,-74.64,1.211,RTWB
9/26/21,2021-09-26T09:00:00Z,38.3,-74.64,1.28,RTWB
9/27/21,2021-09-27T09:00:00Z,38.3,-74.64,1.202,RTWB
9/28/21,2021-09-28T09:00:00Z,38.3,-74.64,0.854,RTWB
