Date,time,latitude,longitude,sstAnom,site
11/3/14,2014-11-03T09:00:00Z,38.38,-74.81,0.296,A2M
11/4/14,2014-11-04T09:00:00Z,38.38,-74.81,0.372,A2M
11/5/14,2014-11-05T09:00:00Z,38.38,-74.81,0.529,A2M
11/6/14,2014-11-06T09:00:00Z,38.38,-74.81,0.189,A2M
11/7/14,2014-11-07T09:00:00Z,38.38,-74.81,0.383,A2M
11/8/14,2014-11-08T09:00:00Z,38.38,-74.81,0.448,A2M
11/9/14,2014-11-09T09:00:00Z,38.38,-74.81,-0.018,A2M
11/10/14,2014-11-10T09:00:00Z,38.38,-74.81,0.061,A2M
11/11/14,2014-11-11T09:00:00Z,38.38,-74.81,0.052,A2M
11/12/14,2014-11-12T09:00:00Z,38.38,-74.81,0.067,A2M
11/13/14,2014-11-13T09:00:00Z,38.38,-74.81,0.543,A2M
11/14/14,2014-11-14T09:00:00Z,38.38,-74.81,0.298,A2M
11/15/14,2014-11-15T09:00:00Z,38.38,-74.81,-0.348,A2M
11/16/14,2014-11-16T09:00:00Z,38.38,-74.81,-0.116,A2M
11/17/14,2014-11-17T09:00:00Z,38.38,-74.81,0.077,A2M
11/18/14,2014-11-18T09:00:00Z,38.38,-74.81,0.113,A2M
11/19/14,2014-11-19T09:00:00Z,38.38,-74.81,-0.228,A2M
11/20/14,2014-11-20T09:00:00Z,38.38,-74.81,-0.338,A2M
11/21/14,2014-11-21T09:00:00Z,38.38,-74.81,-0.709,A2M
11/22/14,2014-11-22T09:00:00Z,38.38,-74.81,-0.913,A2M
11/23/14,2014-11-23T09:00:00Z,38.38,-74.81,-0.861,A2M
11/24/14,2014-11-24T09:00:00Z,38.38,-74.81,-0.665,A2M
11/25/14,2014-11-25T09:00:00Z,38.38,-74.81,-0.139,A2M
11/26/14,2014-11-26T09:00:00Z,38.38,-74.81,-0.277,A2M
11/27/14,2014-11-27T09:00:00Z,38.38,-74.81,-0.444,A2M
11/28/14,2014-11-28T09:00:00Z,38.38,-74.81,-0.643,A2M
11/29/14,2014-11-29T09:00:00Z,38.38,-74.81,-0.469,A2M
11/30/14,2014-11-30T09:00:00Z,38.38,-74.81,-0.583,A2M
12/1/14,2014-12-01T09:00:00Z,38.38,-74.81,-0.583,A2M
12/2/14,2014-12-02T09:00:00Z,38.38,-74.81,-0.318,A2M
12/3/14,2014-12-03T09:00:00Z,38.38,-74.81,0.111,A2M
12/4/14,2014-12-04T09:00:00Z,38.38,-74.81,0.019,A2M
12/5/14,2014-12-05T09:00:00Z,38.38,-74.81,0.098,A2M
12/6/14,2014-12-06T09:00:00Z,38.38,-74.81,0.091,A2M
12/7/14,2014-12-07T09:00:00Z,38.38,-74.81,0.04,A2M
12/8/14,2014-12-08T09:00:00Z,38.38,-74.81,0.175,A2M
12/9/14,2014-12-09T09:00:00Z,38.38,-74.81,0.42,A2M
