Date,time,latitude,longitude,sstAnom,site
11/3/14,2014-11-03T09:00:00Z,38.3,-74.65,0.494,A7M
11/4/14,2014-11-04T09:00:00Z,38.3,-74.65,0.481,A7M
11/5/14,2014-11-05T09:00:00Z,38.3,-74.65,0.651,A7M
11/6/14,2014-11-06T09:00:00Z,38.3,-74.65,0.485,A7M
11/7/14,2014-11-07T09:00:00Z,38.3,-74.65,0.832,A7M
11/8/14,2014-11-08T09:00:00Z,38.3,-74.65,0.665,A7M
11/9/14,2014-11-09T09:00:00Z,38.3,-74.65,0.25,A7M
11/10/14,2014-11-10T09:00:00Z,38.3,-74.65,0.427,A7M
11/11/14,2014-11-11T09:00:00Z,38.3,-74.65,0.772,A7M
11/12/14,2014-11-12T09:00:00Z,38.3,-74.65,0.743,A7M
11/13/14,2014-11-13T09:00:00Z,38.3,-74.65,0.949,A7M
11/14/14,2014-11-14T09:00:00Z,38.3,-74.65,0.571,A7M
11/15/14,2014-11-15T09:00:00Z,38.3,-74.65,-0.441,A7M
11/16/14,2014-11-16T09:00:00Z,38.3,-74.65,-0.461,A7M
11/17/14,2014-11-17T09:00:00Z,38.3,-74.65,-0.331,A7M
11/18/14,2014-11-18T09:00:00Z,38.3,-74.65,0.398,A7M
11/19/14,2014-11-19T09:00:00Z,38.3,-74.65,0.289,A7M
11/20/14,2014-11-20T09:00:00Z,38.3,-74.65,0.394,A7M
11/21/14,2014-11-21T09:00:00Z,38.3,-74.65,-0.463,A7M
11/22/14,2014-11-22T09:00:00Z,38.3,-74.65,-0.493,A7M
11/23/14,2014-11-23T09:00:00Z,38.3,-74.65,0.294,A7M
11/24/14,2014-11-24T09:00:00Z,38.3,-74.65,0.336,A7M
11/25/14,2014-11-25T09:00:00Z,38.3,-74.65,0.413,A7M
11/26/14,2014-11-26T09:00:00Z,38.3,-74.65,-0.075,A7M
11/27/14,2014-11-27T09:00:00Z,38.3,-74.65,-0.054,A7M
11/28/14,2014-11-28T09:00:00Z,38.3,-74.65,-0.023,A7M
11/29/14,2014-11-29T09:00:00Z,38.3,-74.65,-0.047,A7M
11/30/14,2014-11-30T09:00:00Z,38.3,-74.65,-0.313,A7M
12/1/14,2014-12-01T09:00:00Z,38.3,-74.65,-0.224,A7M
12/2/14,2014-12-02T09:00:00Z,38.3,-74.65,-0.106,A7M
12/3/14,2014-12-03T09:00:00Z,38.3,-74.65,0.33,A7M
12/4/14,2014-12-04T09:00:00Z,38.3,-74.65,-0.139,A7M
12/5/14,2014-12-05T09:00:00Z,38.3,-74.65,-0.17,A7M
12/6/14,2014-12-06T09:00:00Z,38.3,-74.65,0.054,A7M
12/7/14,2014-12-07T09:00:00Z,38.3,-74.65,0.117,A7M
12/8/14,2014-12-08T09:00:00Z,38.3,-74.65,0.234,A7M
12/9/14,2014-12-09T09:00:00Z,38.3,-74.65,0.427,A7M
12/10/14,2014-12-10T09:00:00Z,38.3,-74.65,-0.067,A7M
12/11/14,2014-12-11T09:00:00Z,38.3,-74.65,-0.982,A7M
12/12/14,2014-12-12T09:00:00Z,38.3,-74.65,-1.089,A7M
12/13/14,2014-12-13T09:00:00Z,38.3,-74.65,-1.102,A7M
12/14/14,2014-12-14T09:00:00Z,38.3,-74.65,-1.155,A7M
12/15/14,2014-12-15T09:00:00Z,38.3,-74.65,-1.527,A7M
12/16/14,2014-12-16T09:00:00Z,38.3,-74.65,-1.51,A7M
12/17/14,2014-12-17T09:00:00Z,38.3,-74.65,-1.384,A7M
12/18/14,2014-12-18T09:00:00Z,38.3,-74.65,-1.425,A7M
12/19/14,2014-12-19T09:00:00Z,38.3,-74.65,-1.386,A7M
12/20/14,2014-12-20T09:00:00Z,38.3,-74.65,-1.526,A7M
12/21/14,2014-12-21T09:00:00Z,38.3,-74.65,-1.344,A7M
12/22/14,2014-12-22T09:00:00Z,38.3,-74.65,-0.953,A7M
12/23/14,2014-12-23T09:00:00Z,38.3,-74.65,-0.888,A7M
12/24/14,2014-12-24T09:00:00Z,38.3,-74.65,-0.892,A7M
12/25/14,2014-12-25T09:00:00Z,38.3,-74.65,-1.123,A7M
12/26/14,2014-12-26T09:00:00Z,38.3,-74.65,-0.982,A7M
12/27/14,2014-12-27T09:00:00Z,38.3,-74.65,-0.817,A7M
12/28/14,2014-12-28T09:00:00Z,38.3,-74.65,-0.613,A7M
12/29/14,2014-12-29T09:00:00Z,38.3,-74.65,-0.916,A7M
12/30/14,2014-12-30T09:00:00Z,38.3,-74.65,-0.865,A7M
12/31/14,2014-12-31T09:00:00Z,38.3,-74.65,-0.661,A7M
1/1/15,2015-01-01T09:00:00Z,38.3,-74.65,-0.801,A7M
1/2/15,2015-01-02T09:00:00Z,38.3,-74.65,-1.185,A7M
1/3/15,2015-01-03T09:00:00Z,38.3,-74.65,-0.852,A7M
1/4/15,2015-01-04T09:00:00Z,38.3,-74.65,0.151,A7M
1/5/15,2015-01-05T09:00:00Z,38.3,-74.65,0.677,A7M
1/6/15,2015-01-06T09:00:00Z,38.3,-74.65,-0.382,A7M
1/7/15,2015-01-07T09:00:00Z,38.3,-74.65,-1.402,A7M
1/8/15,2015-01-08T09:00:00Z,38.3,-74.65,-0.846,A7M
1/9/15,2015-01-09T09:00:00Z,38.3,-74.65,-0.545,A7M
