Date,time,latitude,longitude,sstAnom,site
11/3/14,2014-11-03T09:00:00Z,38.3,-74.51,0.705,T2M
11/4/14,2014-11-04T09:00:00Z,38.3,-74.51,0.65,T2M
11/5/14,2014-11-05T09:00:00Z,38.3,-74.51,0.757,T2M
11/6/14,2014-11-06T09:00:00Z,38.3,-74.51,0.747,T2M
11/7/14,2014-11-07T09:00:00Z,38.3,-74.51,1.016,T2M
11/8/14,2014-11-08T09:00:00Z,38.3,-74.51,0.696,T2M
11/9/14,2014-11-09T09:00:00Z,38.3,-74.51,0.751,T2M
11/10/14,2014-11-10T09:00:00Z,38.3,-74.51,0.938,T2M
11/11/14,2014-11-11T09:00:00Z,38.3,-74.51,1.168,T2M
11/12/14,2014-11-12T09:00:00Z,38.3,-74.51,1.148,T2M
11/13/14,2014-11-13T09:00:00Z,38.3,-74.51,1.216,T2M
11/14/14,2014-11-14T09:00:00Z,38.3,-74.51,1.015,T2M
11/15/14,2014-11-15T09:00:00Z,38.3,-74.51,-0.174,T2M
11/16/14,2014-11-16T09:00:00Z,38.3,-74.51,-0.034,T2M
11/17/14,2014-11-17T09:00:00Z,38.3,-74.51,-0.008,T2M
11/18/14,2014-11-18T09:00:00Z,38.3,-74.51,0.764,T2M
11/19/14,2014-11-19T09:00:00Z,38.3,-74.51,0.662,T2M
11/20/14,2014-11-20T09:00:00Z,38.3,-74.51,0.693,T2M
11/21/14,2014-11-21T09:00:00Z,38.3,-74.51,0.668,T2M
11/22/14,2014-11-22T09:00:00Z,38.3,-74.51,0.823,T2M
11/23/14,2014-11-23T09:00:00Z,38.3,-74.51,1.061,T2M
11/24/14,2014-11-24T09:00:00Z,38.3,-74.51,1.034,T2M
11/25/14,2014-11-25T09:00:00Z,38.3,-74.51,1.019,T2M
11/26/14,2014-11-26T09:00:00Z,38.3,-74.51,0.282,T2M
11/27/14,2014-11-27T09:00:00Z,38.3,-74.51,0.373,T2M
11/28/14,2014-11-28T09:00:00Z,38.3,-74.51,0.232,T2M
11/29/14,2014-11-29T09:00:00Z,38.3,-74.51,0.178,T2M
11/30/14,2014-11-30T09:00:00Z,38.3,-74.51,0.114,T2M
12/1/14,2014-12-01T09:00:00Z,38.3,-74.51,0.136,T2M
12/2/14,2014-12-02T09:00:00Z,38.3,-74.51,0.357,T2M
12/3/14,2014-12-03T09:00:00Z,38.3,-74.51,0.668,T2M
12/4/14,2014-12-04T09:00:00Z,38.3,-74.51,-0.18,T2M
12/5/14,2014-12-05T09:00:00Z,38.3,-74.51,-0.154,T2M
12/6/14,2014-12-06T09:00:00Z,38.3,-74.51,0.118,T2M
12/7/14,2014-12-07T09:00:00Z,38.3,-74.51,0.194,T2M
12/8/14,2014-12-08T09:00:00Z,38.3,-74.51,0.307,T2M
12/9/14,2014-12-09T09:00:00Z,38.3,-74.51,0.509,T2M
12/10/14,2014-12-10T09:00:00Z,38.3,-74.51,0.046,T2M
12/11/14,2014-12-11T09:00:00Z,38.3,-74.51,-1.059,T2M
12/12/14,2014-12-12T09:00:00Z,38.3,-74.51,-1.333,T2M
12/13/14,2014-12-13T09:00:00Z,38.3,-74.51,-1.873,T2M
12/14/14,2014-12-14T09:00:00Z,38.3,-74.51,-1.719,T2M
12/15/14,2014-12-15T09:00:00Z,38.3,-74.51,-1.735,T2M
12/16/14,2014-12-16T09:00:00Z,38.3,-74.51,-1.368,T2M
12/17/14,2014-12-17T09:00:00Z,38.3,-74.51,-0.644,T2M
12/18/14,2014-12-18T09:00:00Z,38.3,-74.51,-0.462,T2M
12/19/14,2014-12-19T09:00:00Z,38.3,-74.51,-0.616,T2M
12/20/14,2014-12-20T09:00:00Z,38.3,-74.51,-1.419,T2M
12/21/14,2014-12-21T09:00:00Z,38.3,-74.51,-1.457,T2M
12/22/14,2014-12-22T09:00:00Z,38.3,-74.51,-0.864,T2M
12/23/14,2014-12-23T09:00:00Z,38.3,-74.51,-0.736,T2M
12/24/14,2014-12-24T09:00:00Z,38.3,-74.51,-0.384,T2M
12/25/14,2014-12-25T09:00:00Z,38.3,-74.51,-0.278,T2M
12/26/14,2014-12-26T09:00:00Z,38.3,-74.51,-0.175,T2M
12/27/14,2014-12-27T09:00:00Z,38.3,-74.51,-0.33,T2M
12/28/14,2014-12-28T09:00:00Z,38.3,-74.51,-0.337,T2M
12/29/14,2014-12-29T09:00:00Z,38.3,-74.51,-0.586,T2M
12/30/14,2014-12-30T09:00:00Z,38.3,-74.51,-0.1,T2M
12/31/14,2014-12-31T09:00:00Z,38.3,-74.51,0.399,T2M
1/1/15,2015-01-01T09:00:00Z,38.3,-74.51,0.429,T2M
1/2/15,2015-01-02T09:00:00Z,38.3,-74.51,0.361,T2M
1/3/15,2015-01-03T09:00:00Z,38.3,-74.51,0.053,T2M
1/4/15,2015-01-04T09:00:00Z,38.3,-74.51,0.338,T2M
1/5/15,2015-01-05T09:00:00Z,38.3,-74.51,0.884,T2M
1/6/15,2015-01-06T09:00:00Z,38.3,-74.51,0.15,T2M
1/7/15,2015-01-07T09:00:00Z,38.3,-74.51,-1.096,T2M
1/8/15,2015-01-08T09:00:00Z,38.3,-74.51,-0.179,T2M
1/9/15,2015-01-09T09:00:00Z,38.3,-74.51,0.138,T2M
1/10/15,2015-01-10T09:00:00Z,38.3,-74.51,0.016,T2M
1/11/15,2015-01-11T09:00:00Z,38.3,-74.51,0.161,T2M
1/12/15,2015-01-12T09:00:00Z,38.3,-74.51,0.169,T2M
1/13/15,2015-01-13T09:00:00Z,38.3,-74.51,0.129,T2M
1/14/15,2015-01-14T09:00:00Z,38.3,-74.51,-0.349,T2M
1/15/15,2015-01-15T09:00:00Z,38.3,-74.51,-0.731,T2M
1/16/15,2015-01-16T09:00:00Z,38.3,-74.51,-0.574,T2M
1/17/15,2015-01-17T09:00:00Z,38.3,-74.51,-0.54,T2M
1/18/15,2015-01-18T09:00:00Z,38.3,-74.51,-0.449,T2M
1/19/15,2015-01-19T09:00:00Z,38.3,-74.51,-0.594,T2M
1/20/15,2015-01-20T09:00:00Z,38.3,-74.51,-0.603,T2M
1/21/15,2015-01-21T09:00:00Z,38.3,-74.51,-0.549,T2M
1/22/15,2015-01-22T09:00:00Z,38.3,-74.51,-0.244,T2M
1/23/15,2015-01-23T09:00:00Z,38.3,-74.51,-0.651,T2M
1/24/15,2015-01-24T09:00:00Z,38.3,-74.51,-0.886,T2M
1/25/15,2015-01-25T09:00:00Z,38.3,-74.51,-0.89,T2M
1/26/15,2015-01-26T09:00:00Z,38.3,-74.51,-1.034,T2M
1/27/15,2015-01-27T09:00:00Z,38.3,-74.51,-0.945,T2M
1/28/15,2015-01-28T09:00:00Z,38.3,-74.51,-0.722,T2M
1/29/15,2015-01-29T09:00:00Z,38.3,-74.51,-0.877,T2M
1/30/15,2015-01-30T09:00:00Z,38.3,-74.51,-1.072,T2M
1/31/15,2015-01-31T09:00:00Z,38.3,-74.51,-1.375,T2M
2/1/15,2015-02-01T09:00:00Z,38.3,-74.51,-1.857,T2M
2/2/15,2015-02-02T09:00:00Z,38.3,-74.51,-1.965,T2M
2/3/15,2015-02-03T09:00:00Z,38.3,-74.51,-2.076,T2M
2/4/15,2015-02-04T09:00:00Z,38.3,-74.51,-2.081,T2M
2/5/15,2015-02-05T09:00:00Z,38.3,-74.51,-2.074,T2M
2/6/15,2015-02-06T09:00:00Z,38.3,-74.51,-1.879,T2M
2/7/15,2015-02-07T09:00:00Z,38.3,-74.51,-1.87,T2M
2/8/15,2015-02-08T09:00:00Z,38.3,-74.51,-1.643,T2M
2/9/15,2015-02-09T09:00:00Z,38.3,-74.51,-1.017,T2M
2/10/15,2015-02-10T09:00:00Z,38.3,-74.51,-0.978,T2M
2/11/15,2015-02-11T09:00:00Z,38.3,-74.51,-1.026,T2M
2/12/15,2015-02-12T09:00:00Z,38.3,-74.51,-1.125,T2M
2/13/15,2015-02-13T09:00:00Z,38.3,-74.51,-1.171,T2M
2/14/15,2015-02-14T09:00:00Z,38.3,-74.51,-1.618,T2M
2/15/15,2015-02-15T09:00:00Z,38.3,-74.51,-1.683,T2M
2/16/15,2015-02-16T09:00:00Z,38.3,-74.51,-1.76,T2M
2/17/15,2015-02-17T09:00:00Z,38.3,-74.51,-2.181,T2M
2/18/15,2015-02-18T09:00:00Z,38.3,-74.51,-1.819,T2M
2/19/15,2015-02-19T09:00:00Z,38.3,-74.51,-2.369,T2M
2/20/15,2015-02-20T09:00:00Z,38.3,-74.51,-2.465,T2M
2/21/15,2015-02-21T09:00:00Z,38.3,-74.51,-2.388,T2M
2/22/15,2015-02-22T09:00:00Z,38.3,-74.51,-2.681,T2M
2/23/15,2015-02-23T09:00:00Z,38.3,-74.51,-2.456,T2M
2/24/15,2015-02-24T09:00:00Z,38.3,-74.51,-2.617,T2M
2/25/15,2015-02-25T09:00:00Z,38.3,-74.51,-2.748,T2M
2/26/15,2015-02-26T09:00:00Z,38.3,-74.51,-2.547,T2M
2/27/15,2015-02-27T09:00:00Z,38.3,-74.51,-1.457,T2M
2/28/15,2015-02-28T09:00:00Z,38.3,-74.51,-1.119,T2M
3/1/15,2015-03-01T09:00:00Z,38.3,-74.51,-1.832,T2M
3/2/15,2015-03-02T09:00:00Z,38.3,-74.51,-1.576,T2M
3/3/15,2015-03-03T09:00:00Z,38.3,-74.51,-1.688,T2M
3/4/15,2015-03-04T09:00:00Z,38.3,-74.51,-1.659,T2M
3/5/15,2015-03-05T09:00:00Z,38.3,-74.51,-1.371,T2M
3/6/15,2015-03-06T09:00:00Z,38.3,-74.51,-0.92,T2M
3/7/15,2015-03-07T09:00:00Z,38.3,-74.51,-0.981,T2M
3/8/15,2015-03-08T09:00:00Z,38.3,-74.51,-1.049,T2M
3/9/15,2015-03-09T09:00:00Z,38.3,-74.51,-1.117,T2M
3/10/15,2015-03-10T09:00:00Z,38.3,-74.51,-1.443,T2M
3/11/15,2015-03-11T09:00:00Z,38.3,-74.51,-1.328,T2M
3/12/15,2015-03-12T09:00:00Z,38.3,-74.51,-1.383,T2M
3/13/15,2015-03-13T09:00:00Z,38.3,-74.51,-1.508,T2M
3/14/15,2015-03-14T09:00:00Z,38.3,-74.51,-1.42,T2M
3/15/15,2015-03-15T09:00:00Z,38.3,-74.51,-1.069,T2M
3/16/15,2015-03-16T09:00:00Z,38.3,-74.51,-0.834,T2M
3/17/15,2015-03-17T09:00:00Z,38.3,-74.51,-0.822,T2M
3/18/15,2015-03-18T09:00:00Z,38.3,-74.51,-0.918,T2M
3/19/15,2015-03-19T09:00:00Z,38.3,-74.51,-0.789,T2M
3/20/15,2015-03-20T09:00:00Z,38.3,-74.51,-1.32,T2M
3/21/15,2015-03-21T09:00:00Z,38.3,-74.51,-1.145,T2M
